,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,TB,Press,Sw,Crs,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA90,PL,Drib,sSh,Fld,Def,GCA90,PL.1,PD.1,Drib.1,gSh,Fld.1,Def.1,Cluster
115,Houssem Aouar\Houssem-Aouar,fr FRA,FW,Lyon,fr Ligue 1,22.0,1998.0,0.2648648648648649,0.2333333333333333,0.5787610619469026,0.47430830039525695,0.3808864265927978,0.5777385159010601,0.47430830039525695,0.21212121212121213,0.2,0.25092250922509224,0.4224137931034483,0.4555555555555556,0.34615384615384615,0.46428571428571425,0.4285714285714285,0.5462519936204147,0.5138121546961326,0.3154960981047938,0.4378423236514522,0.5137557959814529,0.5535502958579882,0.5188829787234043,0.2828389830508475,0.5726457399103139,0.5357976653696498,0.35476956055734193,0.23032786885245904,0.24371257485029943,0.4284253578732107,0.19736842105263158,0.39215686274509803,0.4000000000000001,0.5123287671232877,0.5473411154345006,0.27450980392156865,0.04347826086956522,0.4835630965005303,0.5374449339207048,0.2061855670103093,0.30948905109489055,0.15412186379928314,0.2,0.6486725663716814,0.2620689655172414,0.09615384615384615,0.07311320754716981,0.6664615384615384,0.12866817155756208,0.04069767441860465,0.0,0.22471910112359553,0.32163742690058483,0.6120401337792641,0.33423180592991913,0.5163240628778718,0.5823529411764706,0.47457627118644075,0.35714285714285715,0.44943820224719105,0.7352941176470588,0.6016949152542372,0.39215686274509803,0.0,0.18518518518518517,0.6666666666666667,0.20833333333333334,0.0,5
179,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,eng Premier League,31.0,1989.0,0.005405405405405387,0.7200000000000001,0.6035398230088496,0.7114624505928855,0.5858725761772853,0.6007067137809188,0.7114624505928855,0.8787878787878787,0.58,0.3357933579335793,0.4224137931034483,0.5444444444444444,0.4615384615384615,1.7678571428571426,1.7678571428571426,0.3038277511961722,0.361878453038674,0.1505016722408026,0.33618257261410783,0.4865533230293663,0.27248520710059176,0.2768617021276596,0.2033898305084746,0.26053811659192827,0.30622568093385216,0.18220793140407296,0.4,0.5287425149700599,0.29447852760736193,0.2631578947368421,0.37254901960784315,0.5714285714285715,0.536986301369863,0.25810635538262,0.34204793028322444,0.5130434782608696,0.29162248144220576,0.36123348017621143,0.10309278350515465,0.481021897810219,0.5627240143369175,0.5623762376237623,0.2716814159292036,0.4948275862068966,0.5203296703296704,0.5023584905660378,0.023999999999999997,0.43340857787810383,0.11395348837209303,0.14942528735632185,0.11235955056179776,0.36842105263157887,0.5284280936454848,0.38544474393531,0.43168077388149945,0.36078431372549025,0.6610169491525424,0.34523809523809523,0.22471910112359553,0.29411764705882354,0.4152542372881356,0.19607843137254902,0.2380952380952381,0.0,0.6666666666666667,0.0,0.0,5
278,Domenico Berardi\Domenico-Berardi,it ITA,FW,Sassuolo,it Serie A,25.0,1994.0,0.47297297297297297,0.41333333333333333,0.6,0.4071146245059289,0.3005540166204986,0.598939929328622,0.4071146245059289,0.30303030303030304,0.33,0.43542435424354237,0.4310344827586207,0.3111111111111111,0.19230769230769232,0.9285714285714285,0.857142857142857,0.43301435406698563,0.4613259668508288,0.22408026755852845,0.4570954356846473,0.5459041731066462,0.3079881656804734,0.3007978723404256,0.22775423728813557,0.563677130044843,0.5513618677042802,0.32261521972132906,0.4180327868852459,0.5419161676646707,0.3057259713701431,0.32894736842105265,0.37254901960784315,0.7428571428571429,0.5671232876712329,0.27496757457846954,0.7690631808278867,0.6608695652173914,0.5906680805938495,0.4581497797356828,0.2577319587628866,0.4751824817518248,0.35125448028673834,0.4613861386138614,0.46283185840707963,0.27586206896551724,0.4571428571428572,0.625,0.06415384615384616,0.19638826185101582,0.02558139534883721,0.0421455938697318,0.20224719101123595,0.4736842105263158,0.3478260869565217,0.4690026954177897,0.46674727932285376,0.5058823529411766,0.24576271186440676,0.42857142857142855,0.2808988764044944,0.5294117647058822,0.5254237288135594,0.3529411764705882,0.16666666666666669,0.0,0.3666666666666667,0.16666666666666669,0.26666666666666666,5
541,Kingsley Coman\Kingsley-Coman,fr FRA,FW,Bayern Munich,de Bundesliga,24.0,1996.0,0.25675675675675674,0.17333333333333334,0.415929203539823,0.35968379446640314,0.3988919667590028,0.41519434628975266,0.36363636363636365,0.30303030303030304,0.26,0.2878228782287822,0.15517241379310345,0.19999999999999998,0.19230769230769232,0.857142857142857,0.857142857142857,0.41706539074960125,0.4157458563535911,0.2597547380156076,0.39601659751037344,0.30046367851622874,0.37603550295857996,0.36728723404255326,0.23834745762711862,0.5053811659192825,0.5085603112840468,0.2968917470525187,0.289344262295082,0.3,0.44069529652351735,0.6710526315789473,0.6666666666666667,1.0285714285714287,0.6054794520547945,0.11154345006485084,0.4357298474945534,0.7130434782608696,0.30116648992576883,0.4552129221732746,0.3195876288659794,0.3912408759124088,0.2670250896057348,0.7821782178217822,0.42920353982300885,0.4051724137931035,0.3010989010989011,0.15172955974842764,0.4572307692307692,0.33860045146726864,0.05348837209302326,0.05747126436781609,0.05617977528089888,0.4736842105263158,0.39799331103678925,0.35309973045822096,0.4461910519951632,0.5843137254901962,0.5254237288135594,0.36904761904761907,0.11235955056179776,0.0,0.7796610169491526,0.6568627450980392,0.0,0.5555555555555555,0.16666666666666669,0.20833333333333334,0.0,5
661,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,Barcelona,es La Liga,23.0,1997.0,0.26216216216216215,0.19999999999999998,0.43716814159292033,0.37944664031620556,0.3975069252077562,0.43639575971731454,0.37549407114624506,0.3333333333333333,0.3,0.29889298892988925,0.21551724137931036,0.2777777777777778,0.2692307692307693,0.8035714285714285,0.8035714285714285,0.5430622009569377,0.5262430939226518,0.294314381270903,0.4438174273858921,0.40432766615146837,0.5890532544378698,0.5561170212765957,0.2796610169491524,0.5591928251121075,0.5591439688715953,0.3097534833869239,0.2188524590163935,0.23892215568862274,0.40899795501022496,0.19736842105263158,0.49019607843137253,0.2571428571428572,0.5013698630136987,0.2412451361867704,0.48583877995642705,0.2608695652173913,0.3679745493107105,0.5374449339207048,0.2577319587628866,0.3262773722627737,0.2544802867383512,0.5821782178217821,0.6238938053097345,0.3163793103448276,0.19175824175824172,0.3797169811320754,0.36953846153846154,0.0835214446952596,0.11162790697674418,0.13793103448275862,0.05617977528089888,0.5263157894736842,0.3946488294314381,0.4851752021563342,0.40266021765417176,0.44705882352941184,0.4322033898305085,0.35714285714285715,0.11235955056179776,0.0,0.3898305084745763,0.29411764705882354,0.0,0.18518518518518517,0.33333333333333337,0.0,0.0,5
674,Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,fr Ligue 1,26.0,1994.0,0.6081081081081081,0.41333333333333333,0.49911504424778763,0.5217391304347826,0.5041551246537396,0.4982332155477032,0.525691699604743,0.3636363636363636,0.27,0.4428044280442805,0.43965517241379315,0.36666666666666664,0.3076923076923077,0.8928571428571428,0.7857142857142857,0.310207336523126,0.361878453038674,0.16053511705685616,0.2797510373443984,0.44389489953632155,0.31982248520710066,0.3327127659574468,0.19173728813559315,0.2452914798206278,0.2673151750972763,0.2175777063236871,0.2942622950819673,0.43952095808383235,0.23517382413087934,0.4868421052631579,0.8235294117647058,0.4000000000000001,0.7671232876712328,0.3125810635538262,0.4030501089324619,0.3478260869565218,0.3531283138918346,0.31864904552129225,0.3195876288659794,0.42262773722627733,0.36917562724014336,0.6039603960396039,0.37433628318584067,0.20517241379310344,0.3846153846153846,0.06682389937106918,0.49723076923076925,0.1015801354401806,0.03255813953488373,0.2222222222222222,0.2808988764044944,0.5029239766081872,0.4548494983277591,0.40161725067385445,0.5211608222490931,0.4666666666666667,0.5508474576271187,0.2976190476190476,0.34831460674157305,0.3529411764705882,0.7542372881355933,0.5098039215686274,0.14285714285714285,0.6666666666666666,0.0,0.375,0.2,5
687,Ángel Di María\Angel-Di-Maria,ar ARG,FW,Paris S-G,fr Ligue 1,32.0,1988.0,0.2864864864864865,0.16,0.45840707964601773,0.32015810276679846,0.30886426592797783,0.45759717314487636,0.32015810276679846,0.24242424242424243,0.28,0.43173431734317347,0.18965517241379312,0.24444444444444444,0.23076923076923075,0.7678571428571428,0.7678571428571428,0.5494417862838916,0.6256906077348066,0.18840579710144925,0.5437344398340249,0.7805255023183926,0.4766272189349113,0.4656914893617021,0.24788135593220328,0.5771300448430493,0.6525291828793774,0.2240085744908896,0.5065573770491804,0.6898203592814371,0.27607361963190186,0.5789473684210527,1.0,0.31428571428571433,0.8904109589041096,0.5382619974059664,0.7821350762527233,0.5913043478260871,0.6330858960763521,0.5873715124816447,1.0,0.4072992700729927,0.5734767025089605,0.9900990099009901,0.5690265486725663,0.45517241379310347,0.6741758241758242,0.8294025157232704,0.03630769230769231,0.1106094808126411,0.15813953488372096,0.09195402298850575,0.3820224719101124,0.6725146198830408,0.5384615384615384,0.6442048517520216,0.6517533252720678,0.6137254901960785,0.3305084745762712,0.4047619047619048,0.4943820224719101,0.5588235294117647,0.7796610169491526,0.5196078431372549,0.11904761904761905,0.37037037037037035,0.16666666666666669,0.4166666666666667,0.6666666666666667,5
787,Paulo Dybala\Paulo-Dybala,ar ARG,FW,Juventus,it Serie A,26.0,1993.0,0.07027027027027026,0.21333333333333335,0.6743362831858407,0.44664031620553357,0.2922437673130194,0.6731448763250883,0.44664031620553357,0.24242424242424243,0.27,0.35424354243542433,0.29310344827586204,0.3777777777777777,0.23076923076923075,0.6785714285714285,0.6785714285714285,0.5925039872408293,0.5828729281767956,0.2887402452619844,0.5462240663900415,0.49428129829984546,0.5683431952662723,0.5268617021276596,0.2913135593220339,0.5591928251121075,0.5357976653696498,0.3365487674169346,0.4614754098360656,0.5700598802395209,0.3323108384458078,0.3157894736842105,0.45098039215686275,0.5714285714285715,0.673972602739726,0.42023346303501946,0.44880174291939,0.2782608695652174,0.5312831389183458,0.5301027900146843,0.0,0.42627737226277373,0.4982078853046595,0.37623762376237624,0.6044247787610619,0.4068965517241379,0.4186813186813187,0.7492138364779874,0.06815384615384615,0.2234762979683973,0.027906976744186046,0.2720306513409962,0.1797752808988764,0.24561403508771928,0.4214046822742475,0.2749326145552561,0.49576783555018133,0.4764705882352941,0.33898305084745767,0.4761904761904762,0.44943820224719105,0.0,0.2033898305084746,0.1568627450980392,0.0,0.0,0.26666666666666666,0.0,0.0,5
899,Phil Foden\Phil-Foden,eng ENG,FW,Manchester City,eng Premier League,20.0,2000.0,0.21621621621621623,0.3333333333333333,0.3858407079646018,0.41501976284584985,0.5083102493074791,0.3869257950530035,0.41501976284584985,0.6060606060606061,0.45,0.20664206642066418,0.24137931034482762,0.3111111111111111,0.34615384615384615,1.107142857142857,1.107142857142857,0.4696969696969697,0.45303867403314907,0.2887402452619844,0.3643153526970955,0.32921174652241114,0.5239644970414202,0.486968085106383,0.28601694915254233,0.4605381165919282,0.44241245136186774,0.32690246516613086,0.16475409836065577,0.26047904191616766,0.21779141104294475,0.368421052631579,0.45098039215686275,0.6857142857142857,0.5178082191780822,0.2658884565499352,0.289760348583878,0.09565217391304348,0.3117709437963945,0.4566813509544787,0.0,0.36496350364963503,0.2795698924731183,0.39603960396039606,0.5318584070796459,0.2120689655172414,0.24890109890109888,0.6391509433962265,0.031538461538461536,0.23024830699774268,0.03837209302325582,0.022988505747126436,0.24719101123595505,0.32163742690058483,0.2842809364548495,0.36118598382749323,0.35066505441354295,0.3686274509803922,0.42372881355932207,0.2619047619047619,0.12359550561797752,0.1764705882352941,0.6610169491525424,0.49019607843137253,0.0,0.2222222222222222,0.5666666666666668,0.25,0.0,5
998,Serge Gnabry\Serge-Gnabry,de GER,FW,Bayern Munich,de Bundesliga,25.0,1995.0,0.22432432432432434,0.3666666666666667,0.5132743362831859,0.5612648221343873,0.5277008310249306,0.5141342756183745,0.5612648221343873,0.5151515151515151,0.37,0.25461254612546125,0.353448275862069,0.4555555555555556,0.38461538461538464,0.9642857142857143,0.9642857142857143,0.44417862838915473,0.4571823204419888,0.24526198439241909,0.3822406639004149,0.3659969088098918,0.41449704142011845,0.42047872340425535,0.21927966101694918,0.5233183856502243,0.5124513618677043,0.32261521972132906,0.21557377049180332,0.2790419161676647,0.310838445807771,0.14473684210526316,0.49019607843137253,0.14285714285714282,0.4931506849315069,0.2684824902723736,0.5010893246187363,0.42608695652173917,0.34676564156945916,0.4566813509544787,0.2268041237113402,0.19708029197080296,0.1953405017921147,0.5089108910891089,0.4964601769911504,0.44137931034482764,0.23186813186813188,0.15330188679245282,0.488,0.32505643340857787,0.12674418604651164,0.31417624521072796,0.3707865168539326,0.4152046783625731,0.4448160535117056,0.4716981132075472,0.4220072551390569,0.5862745098039217,0.1864406779661017,0.1904761904761905,0.05617977528089888,0.0,0.5084745762711864,0.48039215686274506,0.11904761904761905,0.0,0.0,0.20833333333333334,0.0,5
