,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,TB,Press,Sw,Crs,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA90,PL,Drib,sSh,Fld,Def,GCA90,PL.1,PD.1,Drib.1,gSh,Fld.1,Def.1,Cluster
11,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,22.0,1997.0,0.04324324324324323,0.3466666666666667,0.43185840707964596,0.41897233201581036,0.4556786703601108,0.43286219081272087,0.4229249011857707,0.5757575757575757,0.46,0.022140221402214007,0.4482758620689656,0.5777777777777778,0.6538461538461539,0.7142857142857143,0.7142857142857143,0.0645933014354067,0.06906077348066297,0.13600891861761422,0.02954356846473031,0.03554868624420402,0.09881656804733728,0.10398936170212764,0.15148305084745758,0.055156950672645734,0.08132295719844355,0.08038585209003216,0.03770491803278689,0.04850299401197605,0.3374233128834356,0.11842105263157894,0.1568627450980392,0.5714285714285715,0.18904109589041096,0.11154345006485084,0.03703703703703704,0.0,0.059384941675503705,0.08223201174743022,0.0,0.3145985401459854,0.016129032258064516,0.06732673267326733,0.08761061946902654,0.25431034482758624,0.07582417582417583,0.014465408805031445,0.1756923076923077,0.3408577878103838,0.0,0.39463601532567055,0.0,0.16374269005847955,0.056856187290969896,0.2129380053908356,0.0882708585247884,0.08627450980392157,0.07627118644067797,0.30952380952380953,0.29213483146067415,0.0,0.1440677966101695,0.08823529411764705,0.0,0.0,0.0,0.375,0.0,1
17,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,24.0,1996.0,0.5297297297297298,0.19999999999999998,0.2778761061946902,0.391304347826087,0.6606648199445982,0.2773851590106007,0.391304347826087,0.48484848484848486,0.29,0.14760147601476015,0.2327586206896552,0.3,0.5,0.7857142857142857,0.7857142857142857,0.09968102073365231,0.1049723756906077,0.15496098104793754,0.08871369294605809,0.11901081916537867,0.0911242603550296,0.10398936170212764,0.12182203389830508,0.1210762331838565,0.10856031128404668,0.26045016077170424,0.11475409836065574,0.1191616766467066,0.43865030674846633,0.2236842105263158,0.39215686274509803,0.4571428571428572,0.3150684931506849,0.0959792477302205,0.1830065359477124,0.060869565217391314,0.17709437963944857,0.1277533039647577,0.27835051546391754,0.26423357664233577,0.08422939068100357,0.08712871287128714,0.11769911504424779,0.21637931034482757,0.14780219780219783,0.012106918238993711,0.2403076923076923,0.26636568848758463,0.0,0.3103448275862069,0.22471910112359553,0.14035087719298245,0.28762541806020064,0.21024258760107817,0.16928657799274485,0.21764705882352944,0.025423728813559324,0.2380952380952381,0.30337078651685395,0.29411764705882354,0.22881355932203393,0.23529411764705882,0.0,0.0,0.0,0.125,0.0,1
42,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26.0,1994.0,0.6216216216216216,0.32,0.3026548672566371,0.3359683794466404,0.5138504155124652,0.3021201413427561,0.3359683794466404,0.5454545454545454,0.4,0.19188191881918823,0.4051724137931035,0.38888888888888884,0.6153846153846154,0.732142857142857,0.732142857142857,0.17145135566188197,0.18922651933701656,0.16722408026755844,0.1519502074688797,0.13446676970633695,0.18076923076923077,0.1997340425531915,0.14724576271186432,0.18161434977578475,0.20856031128404667,0.18113612004287244,0.130327868852459,0.1473053892215569,0.3875255623721882,0.15789473684210525,0.21568627450980393,0.5714285714285715,0.2821917808219178,0.16601815823605706,0.1459694989106754,0.1826086956521739,0.15164369034994699,0.19823788546255508,0.061855670103092786,0.48029197080291974,0.23835125448028674,0.19801980198019803,0.12123893805309734,0.5422413793103449,0.2681318681318681,0.22091194968553457,0.060461538461538455,0.6004514672686231,0.02441860465116279,0.23371647509578544,0.033707865168539325,0.4444444444444445,0.18394648829431437,0.25336927223719674,0.1487303506650544,0.1843137254901961,0.025423728813559324,0.3928571428571429,0.2696629213483146,0.0,0.2033898305084746,0.11764705882352941,0.0,0.1111111111111111,0.1,0.25,0.0,1
53,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,27.0,1992.0,0.10270270270270272,0.5333333333333333,0.41769911504424784,0.49011857707509887,0.5664819944598337,0.41519434628975266,0.49011857707509887,0.7272727272727272,0.5,0.12915129151291513,0.3793103448275862,0.36666666666666664,0.42307692307692313,1.357142857142857,1.2857142857142856,0.13636363636363638,0.12430939226519336,0.2207357859531773,0.08647302904564316,0.022874806800618246,0.1689349112426036,0.17313829787234045,0.17478813559322032,0.1349775784753363,0.12607003891050583,0.2550911039657021,0.06311475409836066,0.05808383233532934,0.49079754601226994,0.1842105263157895,0.09803921568627451,0.8000000000000002,0.23835616438356164,0.0907911802853437,0.06318082788671024,0.0,0.03499469777306469,0.13803230543318648,0.0,0.2686131386861314,0.012544802867383513,0.0,0.13539823008849558,0.3086206896551724,0.11483516483516483,0.03349056603773585,0.22646153846153846,0.34988713318284426,0.0,0.3869731800766284,0.0,0.005847953216374275,0.18729096989966557,0.14555256064690028,0.13542926239419592,0.19803921568627453,0.11864406779661019,0.08333333333333334,0.24719101123595505,0.0,0.1864406779661017,0.13725490196078433,0.0,0.0,0.23333333333333336,0.0,0.0,1
58,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,26.0,1993.0,0.19459459459459458,0.2333333333333333,0.3132743362831858,0.391304347826087,0.5858725761772853,0.31448763250883394,0.391304347826087,0.42424242424242425,0.28,0.16974169741697415,0.3879310344827586,0.39999999999999997,0.6538461538461539,0.5357142857142857,0.5892857142857142,0.047049441786283876,0.0303867403314917,0.19397993311036787,0.01958506224066392,0.03493044822256569,0.08431952662721896,0.08164893617021275,0.16737288135593217,0.006278026905829602,0.0,0.1361200428724544,0.0598360655737705,0.055089820359281436,0.49079754601226994,0.3026315789473684,0.37254901960784315,0.6857142857142857,0.27123287671232876,0.015564202334630347,0.08932461873638343,0.052173913043478265,0.013785790031813362,0.02349486049926578,0.36082474226804123,0.0,0.06272401433691756,0.0693069306930693,0.05646017699115043,0.18879310344827585,0.061538461538461535,0.02421383647798742,0.1633846153846154,0.23927765237020318,0.0069767441860465115,0.1111111111111111,0.1910112359550562,0.09941520467836258,0.22408026755852842,0.06738544474393529,0.09673518742442563,0.1392156862745098,0.1016949152542373,0.2023809523809524,0.06741573033707865,0.0,0.44067796610169496,0.34313725490196073,0.0,0.2222222222222222,0.4,0.0,0.0,1
113,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,30.0,1990.0,0.32162162162162156,0.3066666666666667,0.46017699115044247,0.391304347826087,0.39058171745152354,0.45936395759717313,0.391304347826087,0.48484848484848486,0.43,0.13653136531365317,0.4224137931034483,0.5444444444444444,0.5769230769230769,0.6607142857142857,0.6607142857142857,0.09808612440191387,0.11878453038674029,0.11594202898550722,0.07219917012448132,0.07882534775888718,0.11952662721893495,0.14654255319148937,0.09851694915254233,0.08878923766816145,0.10466926070038911,0.1479099678456592,0.08606557377049182,0.11317365269461079,0.3139059304703477,0.3026315789473684,0.21568627450980393,0.8857142857142858,0.28767123287671237,0.10765239948119325,0.11982570806100219,0.0782608695652174,0.07953340402969246,0.1365638766519824,0.0,0.39999999999999997,0.11469534050179211,0.2712871287128713,0.1088495575221239,0.3405172413793104,0.15164835164835164,0.04591194968553459,0.20492307692307693,0.2799097065462754,0.04302325581395349,0.21072796934865903,0.10112359550561797,0.2573099415204678,0.23076923076923078,0.2938005390835579,0.25755743651753327,0.203921568627451,0.3135593220338983,0.380952380952381,0.7640449438202248,0.0,0.42372881355932207,0.22549019607843138,0.11904761904761905,0.0,0.3,0.5833333333333334,0.0,1
153,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22.0,1997.0,0.13783783783783782,0.22,0.28318584070796454,0.316205533596838,0.5138504155124652,0.2826855123674911,0.316205533596838,0.5151515151515151,0.38,0.07749077490774905,0.37068965517241387,0.4777777777777778,0.8076923076923076,0.5357142857142857,0.5357142857142857,0.08054226475279108,0.0842541436464088,0.14492753623188398,0.04896265560165975,0.05564142194744978,0.1091715976331361,0.12526595744680852,0.12288135593220333,0.08251121076233185,0.08560311284046691,0.1843515541264737,0.05491803278688524,0.07065868263473053,0.3374233128834356,0.17105263157894737,0.19607843137254902,0.6285714285714287,0.36164383561643837,0.08041504539559015,0.01525054466230937,0.0,0.03605514316012725,0.10719530102790016,0.0,0.3131386861313869,0.04659498207885305,0.039603960396039604,0.08938053097345133,0.2982758620689655,0.10714285714285715,0.04544025157232704,0.17261538461538461,0.2889390519187359,0.008139534883720932,0.4827586206896552,0.07865168539325844,0.4269005847953216,0.19063545150501673,0.1778975741239892,0.16444981862152358,0.21176470588235297,0.16949152542372883,0.15476190476190477,0.22471910112359553,0.2058823529411765,0.33898305084745767,0.19607843137254902,0.0,0.25925925925925924,0.0,0.5416666666666667,0.0,1
177,Keita Baldé\Keita-Balde,sn SEN,FW,Sampdoria,it Serie A,25.0,1995.0,0.08918918918918921,0.35333333333333333,0.5292035398230088,0.541501976284585,0.49168975069252074,0.5282685512367491,0.541501976284585,0.48484848484848486,0.37,0.16236162361623616,0.353448275862069,0.4555555555555556,0.38461538461538464,0.9285714285714285,0.9285714285714285,0.14433811802232854,0.13812154696132595,0.20847268673355623,0.09726141078838173,0.0741885625965997,0.15562130177514794,0.15718085106382976,0.1822033898305085,0.18430493273542603,0.17081712062256812,0.2829581993569132,0.0540983606557377,0.08383233532934131,0.2556237218813906,0.10526315789473684,0.2549019607843137,0.4000000000000001,0.36986301369863017,0.0946822308690013,0.13071895424836602,0.06956521739130435,0.1102863202545069,0.14977973568281938,0.08247422680412371,0.34598540145985407,0.05376344086021505,0.16435643564356436,0.18141592920353983,0.228448275862069,0.07967032967032966,0.0669811320754717,0.23415384615384616,0.16027088036117382,0.01744186046511628,0.2873563218390805,0.0,0.2280701754385965,0.2474916387959866,0.1347708894878706,0.2998790810157195,0.23921568627450981,0.3220338983050848,0.630952380952381,0.5955056179775281,0.4411764705882352,0.3220338983050848,0.14705882352941177,0.0,0.0,0.26666666666666666,0.625,0.0,1
187,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,eng Premier League,26.0,1993.0,0.6459459459459459,0.3333333333333333,0.4920353982300885,0.5019762845849803,0.48753462603878106,0.49116607773851595,0.5019762845849803,0.42424242424242425,0.33,0.1328413284132841,0.41379310344827586,0.4777777777777778,0.4615384615384615,0.7499999999999999,0.732142857142857,0.04226475279106858,0.01519337016574585,0.2251950947603121,0.010456431535269728,0.027820710973724884,0.059763313609467475,0.05797872340425533,0.15148305084745758,0.04977578475336324,0.021400778210116725,0.3011789924973205,0.027049180327868856,0.01916167664670659,0.5572597137014315,0.2763157894736842,0.23529411764705882,0.8000000000000002,0.2356164383561644,0.05836575875486381,0.08278867102396514,0.052173913043478265,0.05514316012725345,0.0,0.12371134020618557,0.04744525547445255,0.0,0.0297029702970297,0.0752212389380531,0.1017241379310345,0.0,0.1440251572327044,0.030615384615384614,0.13769751693002258,0.0034883720930232558,0.2260536398467433,0.10112359550561797,0.13450292397660818,0.19732441471571907,0.0862533692722372,0.1172914147521161,0.1431372549019608,0.1271186440677966,0.21428571428571427,0.20224719101123595,0.1764705882352941,0.4491525423728814,0.28431372549019607,0.0,0.2222222222222222,0.2,0.5,0.0,1
274,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,eng Premier League,29.0,1990.0,0.27567567567567564,0.3333333333333333,0.5646017699115043,0.6205533596837944,0.5373961218836565,0.5653710247349824,0.6245059288537549,0.42424242424242425,0.3,0.0885608856088561,0.31896551724137934,0.4111111111111111,0.3076923076923077,0.9285714285714285,0.9285714285714285,0.14912280701754388,0.20165745856353587,0.08584169453734666,0.08987551867219917,0.0998454404945904,0.18076923076923077,0.263563829787234,0.028601694915254265,0.13318385650224213,0.19610894941634247,0.0728831725616292,0.05901639344262295,0.06047904191616767,0.4396728016359918,0.06578947368421052,0.09803921568627451,0.5428571428571429,0.20273972602739726,0.13878080415045396,0.1503267973856209,0.08695652173913045,0.1314952279957582,0.22173274596182083,0.051546391752577324,0.82992700729927,0.035842293906810034,0.0594059405940594,0.08938053097345133,0.5439655172413793,0.41648351648351645,0.012421383647798743,0.21107692307692308,0.672686230248307,0.005813953488372094,0.30268199233716475,0.22471910112359553,0.28070175438596495,0.3010033444816053,0.1105121293800539,0.12696493349455862,0.18235294117647058,0.1271186440677966,0.11904761904761905,0.11235955056179776,0.29411764705882354,0.21186440677966104,0.09803921568627451,0.0,0.18518518518518517,0.0,0.20833333333333334,0.33333333333333337,1
