Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,5.3,31.5,30.6,0.94,0.19,0.00,7.17,0.57,1.13,0.00,0.00,0.00,0.00,19.4,6.42,5.66,4.15,22.3,2.64,0.57,0.75,22.6,0.19,1.13,1.13,2.45,Matches
21,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,55.6,54.1,1.49,1.28,0.06,5.30,1.49,0.09,0.00,0.00,0.00,0.00,43.0,3.90,8.75,7.56,44.0,2.47,0.21,0.09,48.6,0.09,0.98,0.64,0.49,Matches
22,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,0.4,25.0,25.0,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,17.5,2.50,5.00,22.5,0.00,2.50,0.00,0.00,17.5,0.00,0.00,0.00,0.00,Matches
23,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,60.6,58.3,2.23,1.41,0.37,9.63,2.64,1.12,0.67,0.26,0.19,0.11,46.9,5.87,7.77,5.02,53.3,1.15,0.15,0.19,50.0,0.22,1.00,1.60,1.34,Matches
24,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,33.0,23.3,9.67,2.33,0.00,3.00,0.33,0.00,0.00,0.00,0.00,0.00,19.0,3.00,11.0,4.00,22.0,0.00,0.00,6.67,25.3,0.33,0.67,0.00,0.00,Matches
26,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,17.3,42.0,31.6,10.5,1.04,0.06,4.74,1.04,1.27,0.06,0.00,0.00,0.00,20.4,9.13,12.5,3.58,25.7,2.54,9.36,0.06,30.1,0.29,1.27,1.62,1.10,Matches
27,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,55.5,53.9,1.57,1.46,0.11,8.43,2.13,0.00,0.00,0.00,0.00,0.00,42.2,4.83,8.43,8.65,43.1,2.36,0.11,0.34,49.8,0.34,0.56,0.90,0.11,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,37.1,28.6,8.46,0.13,0.00,5.90,0.64,1.28,0.00,0.00,0.00,0.00,21.4,7.44,8.21,6.03,20.4,1.79,8.33,0.00,26.9,0.00,0.64,2.05,1.41,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,21.2,20.1,1.06,0.00,0.00,6.62,0.60,0.66,0.13,0.00,0.00,0.00,14.7,3.97,2.52,16.7,2.65,0.66,0.13,0.13,15.4,0.07,0.73,0.46,1.26,Matches
