Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
803,Hugo Ekitike\Hugo-Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18,2002,1.0,21.0,26.0,80.8,257.0,36.0,14.0,17.0,82.4,3.00,4.00,75.0,1.00,2.00,50.0,0.00,0.00,0.00,1.00,2.00,0.00,0.00,1.00,Matches
804,Anthony Elanga\Anthony-Elanga,se SWE,FW,Manchester Utd,eng Premier League,18,2002,1.7,25.3,31.2,81.1,395.3,71.2,14.7,16.5,89.3,6.47,7.65,84.6,2.94,3.53,83.3,0.00,0.00,0.00,0.59,2.35,0.00,0.00,1.18,Matches
805,Niclas Eliasson\Niclas-Eliasson,se SWE,MFFW,Nîmes,fr Ligue 1,24,1995,20.0,16.1,26.3,61.3,289.1,104.8,8.05,9.65,83.4,5.05,7.70,65.6,2.40,7.25,33.1,0.15,0.17,-0.02,1.80,0.65,0.80,0.50,1.65,Matches
806,Elif Elmas\Elif-Elmas,mk MKD,MFFW,Napoli,it Serie A,20,1999,8.2,39.6,43.8,90.5,631.8,81.2,22.3,23.7,94.3,14.6,16.1,90.9,2.56,3.17,80.8,0.12,0.09,0.04,1.22,1.46,0.49,0.12,1.34,Matches
807,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,32,1987,9.3,49.9,63.9,78.1,954.7,391.5,20.8,22.6,91.9,21.5,27.6,77.8,7.10,12.2,58.4,0.00,0.06,-0.06,1.40,3.87,2.80,0.86,5.16,Matches
808,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,eng Premier League,28,1992,17.2,54.5,58.3,93.4,1074.1,213.5,19.4,20.4,95.2,26.6,27.7,96.2,7.91,9.13,86.6,0.00,0.01,-0.01,0.23,4.48,0.52,0.00,3.49,Matches
809,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,26,1994,20.9,50.6,57.9,87.4,1094.3,334.0,14.0,15.2,92.1,26.9,29.3,91.8,9.19,12.7,72.5,0.00,0.01,-0.01,0.14,4.26,0.24,0.10,4.21,Matches
810,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,23,1996,28.2,61.6,66.4,92.8,1267.9,318.7,19.3,20.5,94.3,32.3,33.5,96.3,9.61,11.3,85.0,0.04,0.01,0.03,0.11,1.28,0.11,0.04,2.23,Matches
811,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,26,1993,5.2,24.0,30.6,78.6,613.5,194.8,5.19,6.35,81.8,11.7,13.5,87.1,6.73,10.2,66.0,0.00,0.02,-0.02,0.19,0.77,0.19,0.00,0.96,Matches
812,Sepe Elye Wahi\Sepe-Elye-Wahi,fr FRA,FW,Montpellier,fr Ligue 1,17,2003,6.2,11.6,17.7,65.5,159.0,29.0,7.58,11.0,69.1,2.58,3.71,69.6,0.81,1.29,62.5,0.16,0.13,0.03,1.13,0.97,0.32,0.00,0.81,Matches
813,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,23,1997,16.0,20.9,28.7,73.0,282.9,43.6,13.6,16.5,82.2,5.38,7.63,70.5,1.06,1.69,63.0,0.13,0.06,0.06,0.88,0.69,0.88,0.06,1.44,Matches
814,Emerson\Emerson,br BRA,DF,Betis,es La Liga,21,1999,33.2,47.1,58.1,81.2,758.8,281.4,25.3,28.1,90.1,17.4,20.8,83.7,3.40,6.36,53.6,0.12,0.07,0.05,0.93,2.50,1.27,0.48,3.37,Matches
815,Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,it ITA,MF,Atalanta,it Serie A,18,2001,0.0,1,1,100.0,12,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
816,Renaud Emond\Renaud-Emond,be BEL,FW,Nantes,fr Ligue 1,28,1991,3.9,15.9,22.6,70.5,272.8,37.4,7.44,10.5,70.7,5.90,8.21,71.9,2.05,3.08,66.7,0.00,0.03,-0.03,0.51,1.03,0.00,0.00,1.03,Matches
817,Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,26,1994,2.4,39.6,50.4,78.5,828.3,235.4,10.0,10.8,92.3,24.2,28.3,85.3,5.42,9.58,56.5,0.00,0.00,0.00,0.00,3.75,0.00,0.00,4.17,Matches
818,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23,1997,25.7,10.9,15.9,68.9,159.1,18.1,6.46,8.05,80.2,3.39,5.18,65.4,0.62,1.25,50.0,0.00,0.05,-0.05,0.43,0.31,0.00,0.00,0.39,Matches
819,Keita Endo\Keita-Endo,jp JPN,MFFW,Union Berlin,de Bundesliga,22,1997,5.1,14.9,21.2,70.4,255.3,78.4,7.06,10.0,70.6,4.90,7.06,69.4,1.96,2.55,76.9,0.00,0.22,-0.22,1.18,1.37,0.59,0.59,1.37,Matches
820,Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,de Bundesliga,27,1993,32.8,46.3,55.1,84.0,845.5,262.9,18.8,21.2,88.8,21.7,24.6,88.3,4.79,7.13,67.1,0.09,0.06,0.03,0.76,4.30,0.70,0.06,5.30,Matches
821,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,30,1990,15.6,22.9,29.7,77.1,339.0,50.1,13.6,16.9,80.6,6.67,8.65,77.0,1.60,2.18,73.5,0.00,0.06,-0.06,0.83,1.47,0.51,0.13,1.67,Matches
822,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Inter,it Serie A,28,1992,15.4,54.8,66.8,82.1,1041.8,289.2,22.8,25.1,90.9,23.8,26.3,90.4,7.14,13.4,53.4,0.00,0.17,-0.17,1.95,5.06,1.43,0.26,4.61,Matches
823,Martin Erlic\Martin-Erlic,hr CRO,DF,Spezia,it Serie A,22,1998,20.0,44.5,52.0,85.6,1098.7,243.2,8.75,10.3,85.0,22.8,24.9,91.4,12.7,16.3,78.2,0.05,0.03,0.03,0.05,2.50,0.00,0.00,2.05,Matches
824,Patrick Erras\Patrick-Erras,de GER,FWMF,Werder Bremen,de Bundesliga,25,1995,0.3,66.7,110.0,60.6,1243.3,256.7,36.7,53.3,68.8,20.0,30.0,66.7,10.0,20.0,50.0,0.00,0.00,0.00,3.33,3.33,3.33,0.00,3.33,Matches
825,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Lazio,it Serie A,27,1993,8.1,52.7,59.6,88.4,985.8,221.9,20.4,22.6,90.2,25.8,28.5,90.5,5.93,7.16,82.8,0.12,0.00,0.12,0.12,5.19,0.49,0.00,4.20,Matches
826,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,es La Liga,24,1995,5.0,14.8,30.2,49.0,640.2,497.8,1.40,1.40,100.0,4.40,4.60,95.7,9.00,24.2,37.2,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,Matches
827,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,es La Liga,22,1998,9.5,20.8,28.1,74.2,300.0,49.2,12.2,15.1,81.1,7.37,9.05,81.4,0.74,2.21,33.3,0.11,0.14,-0.03,0.63,1.05,0.21,0.00,1.58,Matches
828,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,es La Liga,30,1989,6.3,54.3,64.6,84.0,950.6,344.1,25.9,27.8,93.1,23.2,25.9,89.6,4.13,8.73,47.3,0.00,0.08,-0.08,1.11,3.33,1.90,0.63,3.65,Matches
829,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,es La Liga,28,1992,28.9,23.0,36.0,64.1,461.0,240.3,9.24,10.8,85.3,9.65,14.1,68.4,3.53,8.86,39.8,0.10,0.04,0.06,0.48,1.66,0.45,0.35,2.04,Matches
830,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,es La Liga,21,1999,2.6,29.6,37.3,79.4,555.8,122.7,14.6,16.2,90.5,10.0,12.3,81.3,4.23,6.54,64.7,0.00,0.04,-0.04,0.77,1.15,0.38,0.00,2.69,Matches
831,Nahuel Estévez\Nahuel-Estevez,ar ARG,MF,Spezia,it Serie A,24,1995,19.6,34.5,46.3,74.6,663.1,166.4,14.3,16.7,85.9,14.3,17.5,81.6,5.15,10.2,50.5,0.15,0.10,0.06,1.17,2.86,1.33,0.51,3.72,Matches
832,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,es La Liga,22,1998,13.0,40.2,51.3,78.4,733.4,236.6,18.1,21.0,86.1,16.9,20.0,84.6,4.69,7.54,62.2,0.00,0.10,-0.10,1.15,1.08,1.69,1.15,2.46,Matches
833,Yoann Etienne\Yoann-Etienne,fr FRA,DF,Lorient,fr Ligue 1,23,1997,1.0,24.0,38.0,63.2,382.0,240.0,13.0,14.0,92.9,10.0,18.0,55.6,1.00,4.00,25.0,0.00,0.10,-0.10,1.00,3.00,0.00,0.00,4.00,Matches
834,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,es La Liga,32,1987,9.8,19.9,29.5,67.5,510.4,131.3,3.06,4.39,69.8,10.6,12.2,86.7,6.02,12.0,50.0,0.00,0.02,-0.02,0.10,1.33,0.00,0.00,1.84,Matches
835,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,32,1988,27.5,56.1,64.1,87.5,1231.6,375.6,13.9,15.1,92.3,31.7,33.7,94.2,10.1,14.6,68.9,0.07,0.01,0.06,0.29,3.35,0.11,0.00,2.29,Matches
836,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,es La Liga,23,1996,27.3,32.2,43.2,74.6,625.8,171.1,12.4,15.5,80.3,14.0,16.9,82.9,5.02,8.86,56.6,0.11,0.10,0.01,1.50,3.77,0.70,0.11,4.36,Matches
837,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Fiorentina,it Serie A,28,1992,8.1,32.6,44.0,74.2,615.3,174.9,16.0,18.8,85.5,10.1,12.8,78.8,5.31,9.75,54.4,0.00,0.06,-0.06,0.99,3.83,1.11,0.49,3.58,Matches
838,Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,eng Premier League,22,1998,28.4,32.3,40.8,79.3,518.9,153.5,17.7,19.9,89.2,10.5,12.7,82.5,2.99,6.13,48.9,0.21,0.10,0.11,1.37,2.71,1.13,0.11,3.91,Matches
839,Jokin Ezkieta\Jokin-Ezkieta,es ESP,GK,Athletic Club,es La Liga,23,1996,1.0,21.0,24.0,87.5,524.0,248.0,4.00,4.00,100.0,12.0,12.0,100.0,5.00,8.00,62.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
840,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,35,1985,35.0,17.3,28.6,60.5,697.1,496.6,1.54,1.57,98.2,5.31,5.43,97.9,10.4,21.6,48.2,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00,Matches
841,Fabinho\Fabinho,br BRA,DFMF,Liverpool,eng Premier League,26,1993,28.5,65.5,71.9,91.1,1339.2,347.4,20.8,22.2,93.7,34.5,36.5,94.7,9.54,12.3,77.7,0.00,0.01,-0.01,0.11,3.86,0.56,0.04,3.58,Matches
842,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,30,1990,16.7,40.0,51.7,77.3,719.5,287.3,17.1,19.4,88.0,18.0,22.5,80.1,4.25,7.60,55.9,0.06,0.03,0.03,0.66,3.23,0.42,0.24,3.83,Matches
843,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,33,1987,9.7,66.3,83.7,79.2,1314.9,456.2,26.7,30.6,87.2,26.6,30.7,86.6,11.5,19.2,60.2,0.31,0.30,0.01,2.68,9.38,1.86,0.31,9.28,Matches
844,Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,FWMF,Paris S-G,fr Ligue 1,19,2001,0.7,47.1,48.6,97.1,678.6,141.4,31.4,31.4,100.0,12.9,14.3,90.0,2.86,2.86,100.0,0.00,0.00,0.00,0.00,4.29,1.43,1.43,1.43,Matches
845,Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,MF,Brest,fr Ligue 1,19,2001,0.5,50.0,58.0,86.2,884.0,190.0,26.0,26.0,100.0,18.0,20.0,90.0,6.00,12.0,50.0,0.00,0.00,0.00,2.00,2.00,2.00,0.00,6.00,Matches
846,Wout Faes\Wout-Faes,be BEL,DF,Reims,fr Ligue 1,22,1998,32.2,44.0,50.4,87.4,1021.0,310.7,10.7,11.8,90.5,22.5,24.0,93.7,10.6,14.0,75.8,0.00,0.00,-0.00,0.09,2.42,0.09,0.00,2.30,Matches
847,Nicolò Fagioli\Nicolo-Fagioli,it ITA,MF,Juventus,it Serie A,19,2001,0.2,85.0,90.0,94.4,1420.0,540.0,35.0,35.0,100.0,50.0,50.0,100.0,0.00,5.00,0.0,0.00,0.00,0.00,0.00,15.0,0.00,0.00,15.0,Matches
848,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,31,1988,20.8,26.0,39.7,65.6,761.8,442.6,4.86,4.90,99.0,11.4,11.7,97.5,9.57,22.9,41.8,0.00,0.00,-0.00,0.10,0.38,0.00,0.00,0.00,Matches
849,Romain Faivre\Romain-Faivre,fr FRA,MFFW,Brest,fr Ligue 1,22,1998,32.1,37.0,46.2,80.2,657.9,176.9,18.0,20.5,88.1,13.6,16.0,84.9,4.52,7.88,57.3,0.16,0.18,-0.02,1.96,2.43,1.09,0.16,3.93,Matches
850,Fali\Fali,es ESP,DFMF,Cádiz,es La Liga,26,1993,29.3,17.2,24.4,70.6,423.8,127.4,4.51,5.36,84.1,7.65,9.45,80.9,4.88,9.08,53.8,0.00,0.02,-0.02,0.27,1.88,0.27,0.10,1.81,Matches
851,Iago Falque\Iago-Falque,es ESP,MFFW,Benevento,it Serie A,30,1990,4.0,39.0,52.0,75.0,693.8,179.5,18.5,20.0,92.5,15.5,18.5,83.8,4.25,11.0,38.6,0.25,0.33,-0.07,3.00,3.00,3.50,0.25,5.75,Matches
852,Andri Fannar Baldursson\Andri-Fannar-Baldursson,is ISL,MF,Bologna,it Serie A,18,2002,2.4,22.9,29.2,78.6,409.6,110.4,8.75,10.4,84.0,13.3,15.4,86.5,0.83,3.33,25.0,0.00,0.04,-0.04,0.42,3.33,0.83,0.00,2.08,Matches
853,Paolo Faragò\Paolo-Farago,it ITA,DF,Bologna,it Serie A,27,1993,0.3,36.7,43.3,84.6,670.0,296.7,10.0,13.3,75.0,23.3,23.3,100.0,3.33,3.33,100.0,0.00,0.00,0.00,0.00,0.00,3.33,0.00,6.67,Matches
854,Paolo Faragò\Paolo-Farago,it ITA,DFMF,Cagliari,it Serie A,27,1993,4.1,45.6,54.9,83.1,811.5,305.6,20.5,21.0,97.7,20.7,25.4,81.7,3.90,6.83,57.1,0.00,0.17,-0.17,1.46,1.95,1.22,0.73,3.41,Matches
855,Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,it Serie A,28,1991,32.1,33.5,46.5,72.1,658.0,283.2,12.8,15.4,82.8,15.3,20.0,76.5,4.98,9.22,54.1,0.22,0.12,0.10,0.72,3.08,1.15,0.25,4.58,Matches
856,Mohamed Fares\Mohamed-Fares,dz ALG,DF,Lazio,it Serie A,24,1996,12.7,33.5,43.7,76.8,553.2,153.0,16.2,18.3,88.8,13.3,16.9,79.0,2.60,5.75,45.2,0.08,0.12,-0.04,1.10,1.42,1.18,0.94,2.28,Matches
857,Diego Farias\Diego-Farias,br BRA,FW,Spezia,it Serie A,30,1990,16.8,32.0,39.3,81.4,602.7,120.6,13.9,16.3,85.3,13.8,16.2,84.9,3.99,5.30,75.3,0.12,0.18,-0.06,1.85,1.73,1.25,0.24,3.69,Matches
858,Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,fr Ligue 1,22,1998,1.2,14.2,22.5,63.0,308.3,165.0,4.17,4.17,100.0,6.67,6.67,100.0,3.33,11.7,28.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
859,Noah Fatar\Noah-Fatar,fr FRA,FWMF,Angers,fr Ligue 1,18,2002,0.2,35.0,45.0,77.8,485.0,5.00,15.0,15.0,100.0,20.0,25.0,80.0,0.00,5.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
860,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,es La Liga,17,2002,4.8,36.3,42.7,84.9,447.9,95.6,25.4,28.5,89.1,8.33,9.79,85.1,0.63,1.04,60.0,0.00,0.29,-0.29,1.88,0.63,1.46,0.00,2.29,Matches
861,Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,fr Ligue 1,33,1987,10.6,43.9,57.5,76.2,946.9,415.1,14.9,17.4,85.9,20.5,24.4,83.8,8.21,13.4,61.3,0.28,0.19,0.09,1.89,3.02,2.83,1.89,5.75,Matches
862,Andrea Favilli\Andrea-Favilli,it ITA,FW,Hellas Verona,it Serie A,23,1997,3.8,15.8,21.6,73.2,242.9,27.4,9.47,12.6,75.0,4.47,6.05,73.9,1.32,1.32,100.0,0.00,0.03,-0.03,0.53,0.53,0.26,0.00,0.79,Matches
863,Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,33,1987,4.5,59.8,68.2,87.6,1168.9,365.6,22.2,24.9,89.3,28.4,30.0,94.8,8.44,12.2,69.1,0.00,0.00,0.00,0.00,6.00,0.44,0.00,4.22,Matches
864,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,es La Liga,27,1993,29.1,36.8,45.5,80.8,617.7,168.0,18.3,20.7,88.4,12.7,14.9,85.5,4.12,7.11,58.0,0.21,0.18,0.02,1.79,4.05,1.65,0.21,4.09,Matches
865,Felipe\Felipe,br BRA,DF,Atlético Madrid,es La Liga,31,1989,22.9,38.8,44.8,86.6,818.9,257.9,12.7,13.8,91.8,18.8,20.9,90.0,6.86,9.43,72.7,0.00,0.01,-0.01,0.13,1.53,0.00,0.00,1.75,Matches
866,Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,it Serie A,23,1997,10.1,49.5,54.1,91.6,1072.8,265.9,14.6,15.5,93.6,25.4,27.1,93.8,9.01,10.7,84.3,0.00,0.02,-0.02,0.30,3.17,0.20,0.00,2.77,Matches
867,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,de Bundesliga,22,1997,29.0,41.9,49.8,84.2,880.1,281.9,13.1,14.5,90.3,21.5,23.8,90.4,7.00,10.4,67.2,0.00,0.01,-0.01,0.10,2.31,0.14,0.03,2.93,Matches
868,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,es La Liga,20,1999,17.5,32.3,38.8,83.4,481.8,150.1,19.8,22.2,89.2,8.69,10.6,82.2,2.34,3.31,70.7,0.29,0.22,0.07,1.14,3.77,1.20,0.00,4.29,Matches
869,Zinedine Ferhat\Zinedine-Ferhat,dz ALG,FWMF,Nîmes,fr Ligue 1,27,1993,32.9,25.0,37.8,66.3,432.8,134.9,12.8,15.8,81.2,7.99,12.4,64.6,3.28,6.96,47.2,0.30,0.18,0.12,1.52,2.13,1.43,0.36,3.59,Matches
870,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,eng Premier League,25,1994,34.4,49.5,66.4,74.6,946.1,271.5,23.6,27.5,85.7,17.1,21.4,79.8,7.82,13.7,57.2,0.35,0.32,0.03,2.73,5.15,2.79,0.23,6.60,Matches
871,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,de Bundesliga,24,1996,9.3,28.0,38.4,72.8,545.3,192.5,11.3,13.7,82.7,12.5,15.3,81.7,3.66,7.85,46.6,0.11,0.10,0.01,1.08,1.40,0.65,0.32,2.58,Matches
872,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,29,1991,29.0,24.1,31.8,75.8,640.0,377.8,5.00,5.03,99.3,10.4,10.6,98.7,7.86,15.4,51.1,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,Matches
873,Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,es La Liga,27,1992,21.6,30.9,41.6,74.3,618.7,183.9,11.4,13.7,83.7,13.1,15.4,85.0,5.65,10.8,52.4,0.05,0.08,-0.04,1.11,3.24,0.65,0.28,2.78,Matches
874,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,es La Liga,22,1998,22.0,27.9,37.2,74.9,835.5,456.8,3.77,3.82,98.8,12.5,12.7,98.6,11.0,20.0,54.6,0.00,0.00,-0.00,0.05,0.45,0.00,0.00,0.00,Matches
875,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,es La Liga,33,1986,16.0,24.1,35.4,68.2,686.6,421.9,4.38,4.38,100.0,11.4,11.5,99.5,7.94,19.1,41.6,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,Matches
876,Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,es La Liga,34,1986,4.1,22.4,27.8,80.7,449.5,95.4,7.32,8.78,83.3,10.2,11.5,89.4,4.15,6.34,65.4,0.00,0.00,0.00,0.00,0.73,0.24,0.00,1.95,Matches
877,Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,es La Liga,24,1996,1.6,18.1,24.4,74.4,233.8,51.3,10.6,12.5,85.0,6.25,8.75,71.4,0.00,1.25,0.0,0.00,0.06,-0.06,0.63,1.25,0.00,0.00,1.25,Matches
878,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,es La Liga,24,1996,4.3,18.1,27.7,65.5,263.3,78.4,10.7,14.7,73.0,5.58,8.14,68.6,1.16,2.33,50.0,0.47,0.14,0.33,1.16,0.93,0.70,0.00,2.79,Matches
879,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,31,1989,23.1,29.0,36.2,80.2,633.4,188.7,8.27,9.57,86.4,14.9,16.8,88.9,5.67,9.05,62.7,0.00,0.01,-0.01,0.22,0.82,0.13,0.09,0.82,Matches
880,Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,es La Liga,24,1996,23.0,27.0,33.2,81.5,620.1,188.6,6.65,7.39,90.0,13.9,15.6,88.9,6.22,9.52,65.3,0.00,0.01,-0.01,0.09,1.39,0.09,0.00,1.26,Matches
881,Fernandinho\Fernandinho,br BRA,MF,Manchester City,eng Premier League,35,1985,13.2,66.6,75.8,87.8,1277.1,347.2,28.2,30.8,91.4,29.2,32.0,91.0,8.86,12.0,73.6,0.15,0.07,0.08,0.91,10.3,1.29,0.15,7.35,Matches
882,Fernando\Fernando,br BRA,MF,Sevilla,es La Liga,33,1987,28.3,49.2,54.3,90.5,979.0,234.7,17.2,18.5,92.9,24.6,26.3,93.7,6.86,8.59,79.8,0.14,0.12,0.02,0.67,3.39,0.35,0.00,3.25,Matches
883,Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,26,1994,9.8,42.1,49.5,85.2,858.9,279.6,13.5,14.8,91.0,20.3,22.7,89.6,7.24,10.0,72.4,0.10,0.04,0.06,0.31,1.84,0.10,0.00,2.24,Matches
884,David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,es La Liga,32,1988,28.1,25.6,39.0,65.7,520.6,166.1,10.1,12.3,81.8,10.0,13.7,73.4,5.02,11.1,45.2,0.14,0.20,-0.05,2.53,2.06,1.57,0.68,3.02,Matches
885,Salvador Ferrer\Salvador-Ferrer,es ESP,DF,Spezia,it Serie A,22,1998,13.2,,,,,,,,,,,,,,,0.08,,,,,,,,Matches
886,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,es La Liga,29,1991,3.3,10.9,16.7,65.5,162.4,24.2,6.06,8.48,71.4,3.03,5.15,58.8,0.91,0.91,100.0,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.61,Matches
887,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Montpellier,fr Ligue 1,28,1992,28.6,49.0,57.1,85.8,1065.9,262.6,15.7,17.2,91.3,22.0,24.6,89.6,10.6,13.5,78.5,0.10,0.05,0.05,0.66,5.28,0.56,0.14,5.31,Matches
888,Marco Festa\Marco-Festa,it ITA,GK,Crotone,it Serie A,28,1992,1.0,31.0,38.0,81.6,950.0,600.0,10.0,10.0,100.0,8.00,8.00,100.0,13.0,20.0,65.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
889,Fidel\Fidel,es ESP,MFDF,Elche,es La Liga,30,1989,26.6,34.2,46.5,73.7,622.3,204.7,16.5,19.0,86.6,12.1,15.5,78.3,4.81,9.70,49.6,0.11,0.19,-0.08,1.80,2.44,0.86,0.41,3.05,Matches
890,Sam Field\Sam-Field,eng ENG,MF,West Brom,eng Premier League,22,1998,0.7,21.4,32.9,65.2,318.6,58.6,14.3,20.0,71.4,5.71,7.14,80.0,1.43,4.29,33.3,0.00,0.00,0.00,0.00,1.43,0.00,0.00,2.86,Matches
891,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,31,1989,6.0,18.5,29.3,63.1,337.0,73.0,8.00,11.8,67.6,6.83,11.0,62.1,2.83,3.67,77.3,0.17,0.23,-0.07,1.67,2.17,0.83,0.33,2.67,Matches
892,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,eng Premier League,28,1991,31.5,33.1,41.5,79.7,498.6,125.2,18.8,22.0,85.5,11.0,13.7,80.5,2.03,2.89,70.3,0.22,0.20,0.02,1.46,2.70,1.37,0.00,4.25,Matches
893,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,es La Liga,23,1996,3.2,65.6,73.8,89.0,940.6,268.1,36.9,40.0,92.2,25.3,27.8,91.0,1.56,2.81,55.6,0.31,0.22,0.09,1.56,2.81,0.63,0.00,4.38,Matches
894,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,28,1991,28.6,33.1,42.4,78.1,547.0,173.4,17.3,19.0,91.0,11.0,13.4,82.0,3.64,7.90,46.0,0.07,0.09,-0.02,1.19,3.95,0.87,0.14,3.60,Matches
895,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,27,1993,3.0,30.7,41.7,73.6,1139.7,794.3,2.67,2.67,100.0,12.7,12.7,100.0,15.3,26.3,58.2,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,Matches
896,Florian Flick\Florian-Flick,de GER,MF,Schalke 04,de Bundesliga,20,2000,4.0,22.8,27.5,82.7,473.5,125.5,9.50,10.3,92.7,8.75,10.8,81.4,4.50,5.75,78.3,0.00,0.00,0.00,0.00,2.50,0.75,0.00,2.50,Matches
897,Alexis Flips\Alexis-Flips,fr FRA,MF,Reims,fr Ligue 1,20,2000,0.5,16.0,30.0,53.3,486.0,130.0,2.00,4.00,50.0,8.00,8.00,100.0,6.00,18.0,33.3,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,Matches
898,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DF,Paris S-G,fr Ligue 1,29,1991,17.1,48.5,58.7,82.8,840.7,223.9,25.0,27.0,92.6,17.5,20.9,83.5,5.20,9.12,57.1,0.06,0.12,-0.06,1.11,2.28,1.40,0.99,3.51,Matches
