Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
97,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,30.0,41.3,72.7,373.8,87.5,21.3,23.8,89.5,7.50,11.3,66.7,0.00,2.50,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,Matches
98,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,17,2002,0.0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
99,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,0.0,4,6,66.7,61,28,2,2,100.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,2,Matches
100,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,14.1,19.8,71.3,199.6,32.0,8.72,11.4,76.8,4.24,5.92,71.6,0.72,1.28,56.3,0.00,0.02,-0.02,0.40,0.88,0.24,0.08,0.72,Matches
101,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2.0,16.5,20.0,82.5,495.0,289.0,3.00,3.00,100.0,8.50,8.50,100.0,5.00,8.50,58.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
102,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,54.1,63.6,85.1,942.2,237.4,26.3,29.1,90.4,20.3,23.1,87.7,6.14,8.44,72.7,0.03,0.04,-0.01,0.65,6.07,0.37,0.09,5.42,Matches
103,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,41.1,52.0,79.1,773.5,217.5,17.4,20.5,85.0,17.4,21.1,82.3,5.44,8.43,64.6,0.07,0.08,-0.01,0.85,3.95,0.53,0.04,4.45,Matches
104,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,41.8,47.2,88.5,839.2,197.0,15.4,16.3,94.1,19.0,21.1,90.1,7.10,8.71,81.5,0.05,0.03,0.03,0.65,3.66,0.48,0.05,3.66,Matches
105,Ángel\Angel,es ESP,GK,Granada,es La Liga,18,2002,1.0,16.0,30.0,53.3,760.0,668.0,0.00,0.00,,5.00,5.00,100.0,11.0,25.0,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
106,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,26.0,33.3,78.0,559.3,214.0,6.00,6.67,90.0,15.3,16.0,95.8,4.00,10.0,40.0,0.00,0.00,0.00,0.00,1.33,0.00,0.00,2.00,Matches
107,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,50.9,68.1,74.7,1071.2,423.2,19.4,21.5,90.2,21.4,26.2,81.7,9.90,19.0,52.1,0.00,0.09,-0.09,1.00,4.30,1.40,0.80,5.10,Matches
108,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,24.0,44.1,62.1,71.1,807.4,303.3,20.4,23.9,85.2,17.9,23.4,76.5,5.25,12.5,42.0,0.17,0.21,-0.04,2.33,2.83,2.50,1.13,4.63,Matches
109,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,30.0,30.0,100.0,560.0,220.0,0.00,0.00,,30.0,30.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,Matches
110,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
111,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,33,1986,21.6,31.7,46.7,67.9,668.4,281.1,12.6,14.4,87.2,12.8,16.9,75.6,5.97,13.8,43.1,0.28,0.23,0.05,1.62,2.87,1.85,1.48,3.61,Matches
112,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,60.7,68.9,88.1,1282.0,432.1,16.6,18.3,90.9,34.5,36.5,94.3,9.10,12.9,70.4,0.03,0.01,0.02,0.23,2.26,0.30,0.07,3.12,Matches
113,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,0.3,30.0,53.3,56.3,306.7,36.7,30.0,36.7,81.8,0.00,10.0,0.0,0.00,3.33,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
114,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,30,1990,21.9,14.9,22.4,66.5,228.7,42.2,8.63,11.8,73.0,4.11,6.12,67.2,1.37,2.37,57.7,0.23,0.11,0.12,1.05,1.00,0.55,0.09,1.14,Matches
115,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,40.8,45.8,89.1,922.3,320.8,12.3,13.1,94.1,16.9,18.1,93.6,11.2,14.2,78.4,0.00,0.00,0.00,0.38,1.54,0.00,0.00,1.92,Matches
116,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,19.8,43.0,51.0,84.4,669.3,182.9,23.3,25.8,90.4,14.9,17.2,86.5,3.13,4.55,68.9,0.15,0.20,-0.05,1.87,4.39,1.26,0.05,4.95,Matches
117,Adil Aouchiche\Adil-Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,19.2,30.9,43.1,71.8,582.3,188.1,15.4,18.0,85.3,9.22,12.0,76.6,5.42,10.9,49.5,0.26,0.27,-0.01,3.02,2.86,1.41,0.42,3.07,Matches
118,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,36.6,49.8,73.6,611.7,325.2,18.7,21.3,87.8,14.5,19.9,73.0,3.24,7.11,45.5,0.12,0.06,0.06,0.64,2.89,0.81,0.29,4.57,Matches
119,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,50.0,66.7,75.0,1040.0,486.7,6.67,6.67,100.0,36.7,40.0,91.7,6.67,16.7,40.0,0.00,0.00,0.00,0.00,3.33,0.00,0.00,3.33,Matches
120,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,22.8,32.5,70.1,515.8,129.8,7.58,9.15,82.8,8.91,11.6,76.8,5.74,10.5,54.6,0.00,0.06,-0.06,0.63,2.51,0.79,0.30,2.66,Matches
121,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,54.2,62.7,86.5,981.3,293.2,22.9,25.0,91.4,24.4,26.6,91.7,6.00,8.97,66.9,0.00,0.04,-0.04,0.81,5.95,0.81,0.00,5.57,Matches
122,Luiz Araújo\Luiz-Araujo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,27.9,36.8,75.8,544.5,146.8,11.7,14.3,81.9,11.3,13.8,81.7,4.28,6.51,65.7,0.12,0.16,-0.04,1.33,2.71,1.39,0.18,3.86,Matches
123,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,48.9,57.6,85.0,1099.7,311.7,11.5,12.7,90.4,27.6,29.8,92.5,9.56,14.1,67.5,0.00,0.03,-0.03,0.15,3.00,0.11,0.04,2.67,Matches
124,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,58.8,63.6,92.4,1189.0,265.4,18.0,18.8,95.6,32.9,34.4,95.5,7.44,9.64,77.2,0.06,0.01,0.05,0.12,2.86,0.00,0.00,1.55,Matches
125,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,46.3,60.1,77.0,1113.5,390.0,13.6,15.1,89.8,19.6,23.0,85.2,12.6,20.7,60.8,0.03,0.03,0.00,0.38,5.06,0.48,0.19,4.78,Matches
