,Player,Nation,Pos,Squad,Comp,Age,Born,PrgDist,Cmp.2,Att.2,Att.3,Att,TotDist,Ground,Cmp,KP,Live,GCA90,Prog,Crs,xA,PPA,Cluster_new
168,Leon Bailey\Leon-Bailey,jm JAM,FW,Leverkusen,de Bundesliga,22.0,1997.0,0.30139103554868624,0.27399103139013453,0.32178988326848246,0.47964071856287427,0.367403314917127,0.3063070539419087,0.3230088495575221,0.31339712918660284,0.5753424657534247,0.35389133627019087,0.5,0.21208907741251326,0.7564356435643564,0.5098039215686274,0.3115468409586057,1
179,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,eng Premier League,31.0,1989.0,0.4865533230293663,0.26053811659192827,0.30622568093385216,0.5287425149700599,0.361878453038674,0.33618257261410783,0.2716814159292036,0.3038277511961722,0.536986301369863,0.36123348017621143,0.4152542372881356,0.29162248144220576,0.5623762376237623,0.37254901960784315,0.34204793028322444,1
200,Kike Barja\Kike-Barja,es ESP,FW,Osasuna,es La Liga,23.0,1997.0,0.27449768160741883,0.2569506726457399,0.27898832684824904,0.2652694610778443,0.2527624309392265,0.20091286307053943,0.2345132743362832,0.21451355661881977,0.29315068493150687,0.2775330396475771,0.21186440677966104,0.25874867444326616,0.6594059405940594,0.23529411764705882,0.27450980392156865,1
212,Musa Barrow\Musa-Barrow,gm GAM,FW,Bologna,it Serie A,21.0,1998.0,0.3267387944358578,0.30448430493273543,0.32178988326848246,0.43353293413173655,0.30939226519337015,0.2844813278008299,0.2823008849557522,0.2719298245614035,0.4876712328767123,0.29515418502202645,0.288135593220339,0.2492046659597031,0.41386138613861384,0.3137254901960784,0.21350762527233116,1
234,Sheraldo Becker\Sheraldo-Becker,nl NED,FW,Union Berlin,de Bundesliga,25.0,1995.0,0.24296754250386396,0.2251121076233184,0.2828793774319066,0.19041916167664671,0.18646408839779005,0.1333609958506224,0.14778761061946902,0.1347687400318979,0.4219178082191781,0.2129221732745962,0.6186440677966102,0.1569459172852598,0.8534653465346534,0.5098039215686274,0.31808278867102396,1
268,Saïd Benrahma\Said-Benrahma,dz ALG,FW,West Ham,eng Premier League,24.0,1995.0,0.312210200927357,0.28654708520179367,0.2828793774319066,0.22634730538922154,0.2790055248618784,0.22473029045643156,0.33008849557522124,0.28309409888357256,0.4767123287671233,0.3069016152716594,0.4915254237288135,0.2799575821845175,0.499009900990099,0.5490196078431373,0.3093681917211329,1
282,Álex Berenguer\Alex-Berenguer,es ESP,FW,Athletic Club,es La Liga,25.0,1995.0,0.3443585780525502,0.2748878923766816,0.2945525291828794,0.31676646706586825,0.30939226519337015,0.20190871369294608,0.2752212389380531,0.2511961722488038,0.4109589041095891,0.2834067547723936,0.4322033898305085,0.3022269353128314,0.4930693069306931,0.29411764705882354,0.32679738562091504,1
322,Quentin Boisgard\Quentin-Boisgard,fr FRA,FW,Lorient,fr Ligue 1,23.0,1997.0,0.34621329211746515,0.2820627802690583,0.2828793774319066,0.4880239520958084,0.34392265193370164,0.2253941908713693,0.2911504424778761,0.26395534290271133,0.4136986301369863,0.2878120411160059,0.3474576271186441,0.22693531283138915,0.500990099009901,0.23529411764705882,0.13507625272331156,1
379,Bryan\Bryan,es ESP,FW,Eibar,es La Liga,19.0,2001.0,0.39289026275115924,0.2852017937219731,0.33735408560311286,0.37784431137724556,0.367403314917127,0.2528630705394191,0.34247787610619473,0.29904306220095694,0.5643835616438356,0.35389133627019087,0.2711864406779661,0.3287380699893956,0.8653465346534654,0.4117647058823529,0.4575163398692811,1
407,Mathieu Cafaro\Mathieu-Cafaro,fr FRA,FW,Reims,fr Ligue 1,23.0,1997.0,0.310355486862442,0.3040358744394619,0.34513618677042807,0.5233532934131737,0.3038674033149171,0.2503734439834025,0.2557522123893805,0.21610845295055822,0.22739726027397258,0.30396475770925113,0.2966101694915254,0.2492046659597031,0.4732673267326733,0.1764705882352941,0.1982570806100218,1
