,Player,Nation,Pos,Squad,Comp,Age,Born,PrgDist,Cmp.2,Att.2,Att.3,Att,TotDist,Ground,Cmp,KP,Live,GCA90,Prog,Crs,xA,PPA,Cluster_new
7,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,20.0,2000.0,0.05069551777434313,0.06860986547085203,0.06692607003891052,0.08982035928143713,0.10220994475138119,0.038423236514522834,0.1265486725663717,0.08851674641148326,0.2164383561643836,0.10866372980910424,0.16949152542372883,0.07423117709437965,0.07920792079207921,0.058823529411764705,0.10893246187363835,2
11,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,22.0,1997.0,0.03554868624420402,0.055156950672645734,0.08132295719844355,0.04850299401197605,0.06906077348066297,0.02954356846473031,0.08761061946902654,0.0645933014354067,0.18904109589041096,0.08223201174743022,0.1440677966101695,0.059384941675503705,0.06732673267326733,0.1568627450980392,0.03703703703703704,2
28,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,21.0,1998.0,0.13663060278207112,0.16591928251121077,0.16536964980544747,0.16167664670658685,0.10220994475138119,0.11278008298755189,0.1407079646017699,0.10606060606060606,0.2,0.11453744493392072,0.22881355932203393,0.16967126193001061,0.1306930693069307,0.09803921568627451,0.1721132897603486,2
53,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,27.0,1992.0,0.022874806800618246,0.1349775784753363,0.12607003891050583,0.05808383233532934,0.12430939226519336,0.08647302904564316,0.13539823008849558,0.13636363636363638,0.23835616438356164,0.13803230543318648,0.1864406779661017,0.03499469777306469,0.0,0.09803921568627451,0.06318082788671024,2
58,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,26.0,1993.0,0.03493044822256569,0.006278026905829602,0.0,0.055089820359281436,0.0303867403314917,0.01958506224066392,0.05646017699115043,0.047049441786283876,0.27123287671232876,0.02349486049926578,0.44067796610169496,0.013785790031813362,0.0693069306930693,0.37254901960784315,0.08932461873638343,2
99,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29.0,1991.0,0.04729520865533231,0.0946188340807175,0.09688715953307392,0.04790419161676647,0.08287292817679558,0.048049792531120336,0.051858407079646014,0.08532695374800638,0.10958904109589042,0.08223201174743022,0.2033898305084746,0.03499469777306469,0.06336633663366337,0.0392156862745098,0.05228758169934641,2
153,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22.0,1997.0,0.05564142194744978,0.08251121076233185,0.08560311284046691,0.07065868263473053,0.0842541436464088,0.04896265560165975,0.08938053097345133,0.08054226475279108,0.36164383561643837,0.10719530102790016,0.33898305084745767,0.03605514316012725,0.039603960396039604,0.19607843137254902,0.01525054466230937,2
167,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,28.0,1992.0,0.05316846986089644,0.0937219730941704,0.07821011673151752,0.05449101796407185,0.07734806629834251,0.0503734439834025,0.12123893805309734,0.08054226475279108,0.19726027397260273,0.08076358296622614,0.23728813559322037,0.05832449628844114,0.20990099009900992,0.1568627450980392,0.09586056644880174,2
187,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,eng Premier League,26.0,1993.0,0.027820710973724884,0.04977578475336324,0.021400778210116725,0.01916167664670659,0.01519337016574585,0.010456431535269728,0.0752212389380531,0.04226475279106858,0.2356164383561644,0.0,0.4491525423728814,0.05514316012725345,0.0297029702970297,0.23529411764705882,0.08278867102396514,2
190,Simon Banza\Simon-Banza,fr FRA,FW,Lens,fr Ligue 1,23.0,1996.0,0.08284389489953632,0.14618834080717488,0.12762645914396886,0.09341317365269462,0.0980662983425414,0.08688796680497926,0.1088495575221239,0.10925039872408292,0.19726027397260273,0.11747430249632894,0.2796610169491526,0.10498409331919405,0.14257425742574256,0.1568627450980392,0.14379084967320263,2
204,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,eng Premier League,30.0,1989.0,0.06831530139103555,0.04080717488789238,0.06108949416342412,0.08862275449101796,0.0953038674033149,0.027053941908713713,0.084070796460177,0.07097288676236044,0.2410958904109589,0.12041116005873716,0.11864406779661019,0.10180275715800638,0.08118811881188119,0.09803921568627451,0.10239651416122005,2
259,Darío Benedetto\Dario-Benedetto,ar ARG,FW,Marseille,fr Ligue 1,30.0,1990.0,0.03863987635239567,0.06591928251121076,0.0821011673151751,0.12874251497005987,0.08563535911602209,0.06190871369294608,0.08761061946902654,0.07735247208931419,0.15616438356164383,0.09838472834067548,0.33898305084745767,0.04984093319194061,0.1702970297029703,0.21568627450980393,0.07407407407407408,2
