,Player,Nation,Pos,Squad,Comp,Age,Born,PrgDist,Cmp.2,Att.2,Att.3,Att,TotDist,Ground,Cmp,KP,Live,GCA90,Prog,Crs,xA,PPA,Cluster_new
31,Ruben Aguilar\Ruben-Aguilar,fr FRA,FW,Monaco,fr Ligue 1,27.0,1993.0,0.8046367851622875,0.8686098654708521,0.8665369649805448,0.48982035928143713,0.7030386740331492,0.6365975103734439,0.6132743362831858,0.7105263157894736,0.4876712328767123,0.6358296622613804,0.2711864406779661,0.36267232237539765,0.801980198019802,0.37254901960784315,0.32679738562091504,6
107,Angeliño\Angelino,es ESP,FW,RB Leipzig,de Bundesliga,23.0,1997.0,0.885935085007728,0.7071748878923766,0.7770428015564202,0.7197604790419162,0.6671270718232043,0.552448132780083,0.45221238938053093,0.5637958532695375,0.6383561643835617,0.5550660792951542,0.21186440677966104,0.44962884411452814,0.9247524752475248,0.4117647058823529,0.5446623093681917,6
314,Antonin Bobichon\Antonin-Bobichon,fr FRA,FW,Angers,fr Ligue 1,24.0,1995.0,0.5715610510046368,0.6443946188340808,0.5863813229571985,0.6239520958083833,0.5635359116022098,0.5413278008298755,0.5867256637168141,0.5765550239234449,0.4602739726027397,0.540381791483113,0.2542372881355932,0.4411452810180276,0.3326732673267327,0.4117647058823529,0.1503267973856209,6
342,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,FW,Rennes,fr Ligue 1,26.0,1994.0,0.809273570324575,0.7968609865470851,0.7692607003891051,0.9652694610778444,0.7237569060773481,0.7397510373443982,0.6504424778761062,0.6770334928229665,0.5972602739726028,0.6710719530102791,0.3305084745762712,0.623541887592789,0.5089108910891089,0.37254901960784315,0.3224400871459695,6
354,Julian Brandt\Julian-Brandt,de GER,FW,Dortmund,de Bundesliga,24.0,1996.0,0.5341576506955178,0.6623318385650224,0.6252918287937743,0.37185628742514976,0.5676795580110496,0.5473029045643154,0.6575221238938053,0.598883572567783,0.4958904109589041,0.6035242290748898,0.45762711864406785,0.5143160127253447,0.299009900990099,0.33333333333333337,0.40740740740740744,6
434,Sergio Canales\Sergio-Canales,es ESP,FW,Betis,es La Liga,29.0,1991.0,0.5938176197836168,0.8058295964125561,0.7498054474708171,0.7616766467065867,0.6767955801104972,0.7810788381742739,0.6929203539823009,0.7089314194577353,0.6,0.6740088105726874,0.3983050847457627,0.39766702014846234,0.32673267326732675,0.3529411764705882,0.35947712418300654,6
558,Maxwel Cornet\Maxwel-Cornet,ci CIV,FW,Lyon,fr Ligue 1,23.0,1996.0,0.9483771251931994,0.7475336322869955,0.8120622568093386,0.39161676646706584,0.6588397790055248,0.5640663900414938,0.5973451327433629,0.6403508771929824,0.25205479452054796,0.5800293685756241,0.4067796610169492,0.4072110286320255,0.46534653465346537,0.2549019607843137,0.18518518518518517,6
767,Julian Draxler\Julian-Draxler,de GER,FW,Paris S-G,fr Ligue 1,26.0,1993.0,0.46367851622874806,0.7026905829596413,0.6525291828793774,0.32155688622754486,0.5511049723756907,0.537676348547718,0.6893805309734514,0.6004784688995215,0.6273972602739726,0.5697503671071953,0.5,0.45281018027571585,0.36831683168316837,0.47058823529411764,0.4052287581699347,6
787,Paulo Dybala\Paulo-Dybala,ar ARG,FW,Juventus,it Serie A,26.0,1993.0,0.49428129829984546,0.5591928251121075,0.5357976653696498,0.5700598802395209,0.5828729281767956,0.5462240663900415,0.6044247787610619,0.5925039872408293,0.673972602739726,0.5301027900146843,0.2033898305084746,0.5312831389183458,0.37623762376237624,0.45098039215686275,0.44880174291939,6
1015,Papu Gómez\Papu-Gomez,ar ARG,FW,Sevilla,es La Liga,32.0,1988.0,0.5397217928902628,0.7251121076233185,0.64863813229572,0.5347305389221557,0.606353591160221,0.6383402489626556,0.6415929203539823,0.6626794258373205,0.40273972602739727,0.6211453744493393,0.16949152542372883,0.3329798515376458,0.44554455445544555,0.21568627450980393,0.2570806100217865,6
1196,Lorenzo Insigne\Lorenzo-Insigne,it ITA,FW,Napoli,it Serie A,29.0,1991.0,0.639258114374034,0.6399103139013452,0.6369649805447472,0.6239520958083833,0.6187845303867402,0.5955186721991701,0.6061946902654868,0.6052631578947368,0.5506849315068493,0.6020558002936858,0.4491525423728814,0.5652173913043479,0.398019801980198,0.5098039215686274,0.6034858387799564,6
1202,Isco\Isco,es ESP,FW,Real Madrid,es La Liga,28.0,1992.0,0.8401854714064916,0.8910313901345291,0.8431906614785993,0.5940119760479042,0.8093922651933703,0.7806639004149378,0.8716814159292036,0.8604465709728868,0.5424657534246575,0.8193832599118943,0.2542372881355932,0.6723223753976671,0.3722772277227723,0.33333333333333337,0.3660130718954248,6
1408,Adam Lallana\Adam-Lallana,eng ENG,FW,Brighton,eng Premier League,32.0,1988.0,0.46769706336939726,0.6488789237668162,0.6136186770428016,0.2520958083832336,0.5400552486187844,0.4636514522821577,0.5867256637168141,0.5749601275917064,0.4191780821917808,0.5756240822320119,0.19491525423728814,0.4559915164369036,0.1900990099009901,0.3137254901960784,0.3442265795206972,6
1699,Gonzalo Melero\Gonzalo-Melero,es ESP,FW,Levante,es La Liga,26.0,1994.0,0.5143740340030912,0.7251121076233185,0.629182879377432,0.2592814371257485,0.5124309392265192,0.5126141078838174,0.6274336283185841,0.5829346092503986,0.25205479452054796,0.5433186490455213,0.1610169491525424,0.4114528101802757,0.03762376237623762,0.1568627450980392,0.11546840958605666,6
1814,Mason Mount\Mason-Mount,eng ENG,FW,Chelsea,eng Premier League,21.0,1999.0,0.6612055641421948,0.6623318385650224,0.6252918287937743,0.532934131736527,0.6187845303867402,0.5916182572614108,0.6699115044247788,0.6291866028708134,0.7671232876712328,0.5903083700440529,0.3728813559322034,0.559915164369035,0.4,0.47058823529411764,0.39433551198257083,6
2007,Mario Pašalić\Mario-Pasalic,hr CRO,FW,Atalanta,it Serie A,25.0,1995.0,0.5078825347758887,0.8103139013452915,0.7342412451361868,0.407185628742515,0.5469613259668507,0.5920331950207469,0.6061946902654868,0.5909090909090908,0.39452054794520547,0.5859030837004406,0.47457627118644075,0.4846235418875928,0.12673267326732673,0.43137254901960786,0.45315904139433555,6
