,Player,Nation,Pos,Squad,Comp,Age,Born,PrgDist,Cmp.2,Att.2,Att.3,Att,TotDist,Ground,Cmp,KP,Live,GCA90,Prog,Crs,xA,PPA,Cluster_new
57,Marc Albrighton\Marc-Albrighton,eng ENG,FW,Leicester City,eng Premier League,30.0,1989.0,0.685935085007728,0.3932735426008968,0.39571984435797664,0.5880239520958084,0.4668508287292817,0.36979253112033195,0.3584070796460177,0.3819776714513557,0.5506849315068493,0.4434654919236417,0.4830508474576271,0.4337221633085897,0.7445544554455445,0.45098039215686275,0.4705882352941177,0
115,Houssem Aouar\Houssem-Aouar,fr FRA,FW,Lyon,fr Ligue 1,22.0,1998.0,0.5137557959814529,0.5726457399103139,0.5357976653696498,0.24371257485029943,0.5138121546961326,0.4378423236514522,0.6486725663716814,0.5462519936204147,0.5123287671232877,0.5374449339207048,0.6016949152542372,0.4835630965005303,0.2,0.39215686274509803,0.27450980392156865,0
116,Adil Aouchiche\Adil-Aouchiche,fr FRA,FW,Saint-Étienne,fr Ligue 1,18.0,2002.0,0.5298299845440495,0.31793721973094174,0.3334630350194553,0.6239520958083833,0.4046961325966851,0.3656431535269709,0.3654867256637168,0.35326953748006373,0.8273972602739726,0.3480176211453745,0.3559322033898305,0.2841993637327677,0.4237623762376238,0.5294117647058824,0.30718954248366015,0
139,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,24.0,1996.0,0.3953632148377125,0.4560538116591929,0.4385214007782101,0.40898203592814375,0.47790055248618774,0.41253112033195016,0.5176991150442478,0.47926634768740023,0.473972602739726,0.4860499265785609,0.3305084745762712,0.3414634146341463,0.7227722772277227,0.27450980392156865,0.39869281045751637,0
141,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,32.0,1987.0,0.2973724884080371,0.3358744394618834,0.3334630350194553,0.20479041916167665,0.3535911602209944,0.28240663900414936,0.42212389380530974,0.3437001594896332,0.5178082191780822,0.3773861967694567,0.6949152542372882,0.3457051961823966,0.24356435643564356,0.5098039215686274,0.35729847494553374,0
173,Ridle Baku\Ridle-Baku,de GER,FW,Wolfsburg,de Bundesliga,22.0,1998.0,0.5870170015455951,0.6174887892376681,0.6564202334630351,0.39520958083832336,0.4861878453038674,0.4289626556016598,0.4026548672566372,0.4473684210526315,0.39452054794520547,0.434654919236417,0.45762711864406785,0.3817603393425239,0.5841584158415842,0.29411764705882354,0.3355119825708061,0
203,Aymen Barkok\Aymen-Barkok,ma MAR,FW,Eint Frankfurt,de Bundesliga,22.0,1998.0,0.5017001545595055,0.5053811659192825,0.5357976653696498,0.3449101796407186,0.44060773480662985,0.3438174273858921,0.44867256637168146,0.3883572567783094,0.6273972602739726,0.4082232011747431,0.46610169491525427,0.3573700954400848,0.3089108910891089,0.5490196078431373,0.3790849673202614,0
252,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,FW,Bordeaux,fr Ligue 1,33.0,1987.0,0.4556414219474498,0.4605381165919282,0.44241245136186774,0.4718562874251497,0.4654696132596685,0.4224896265560166,0.4982300884955752,0.46012759170653905,0.44931506849315067,0.4082232011747431,0.3559322033898305,0.3457051961823966,0.38811881188118813,0.3529411764705882,0.2657952069716776,0
278,Domenico Berardi\Domenico-Berardi,it ITA,FW,Sassuolo,it Serie A,25.0,1994.0,0.5459041731066462,0.563677130044843,0.5513618677042802,0.5419161676646707,0.4613259668508288,0.4570954356846473,0.46283185840707963,0.43301435406698563,0.5671232876712329,0.4581497797356828,0.5254237288135594,0.5906680805938495,0.4613861386138614,0.37254901960784315,0.7690631808278867,0
338,Farid Boulaya\Farid-Boulaya,dz ALG,FW,Metz,fr Ligue 1,27.0,1993.0,0.6241112828438949,0.46950672645739905,0.5007782101167315,0.8874251497005988,0.5027624309392266,0.4817427385892116,0.38672566371681416,0.40111642743221687,0.6465753424657534,0.4375917767988253,0.3559322033898305,0.44644750795334043,0.4811881188118812,0.4117647058823529,0.34204793028322444,0
360,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,de Bundesliga,22.0,1998.0,0.41483771251932,0.5053811659192825,0.5007782101167315,0.4425149700598803,0.3895027624309392,0.39767634854771783,0.4079646017699115,0.3644338118022329,0.5013698630136987,0.38766519823788553,0.46610169491525427,0.3997879109225875,0.2851485148514851,0.33333333333333337,0.2919389978213508,0
472,Gonzalo Castro\Gonzalo-Castro,de GER,FW,Stuttgart,de Bundesliga,33.0,1987.0,0.6080370942812984,0.5008968609865472,0.5202334630350195,0.5167664670658683,0.4599447513812154,0.4148547717842324,0.4451327433628318,0.4218500797448166,0.6136986301369863,0.41556534508076365,0.22033898305084748,0.4559915164369036,0.2792079207920792,0.3137254901960784,0.3507625272331155,0
482,Bersant Celina\Bersant-Celina,xk KVX,FW,Dijon,fr Ligue 1,23.0,1996.0,0.46429675425038647,0.42914798206278026,0.40739299610894947,0.4832335329341318,0.4005524861878452,0.3609958506224067,0.4008849557522124,0.3883572567783094,0.5260273972602739,0.368575624082232,0.19491525423728814,0.3573700954400848,0.3722772277227723,0.3529411764705882,0.3246187363834423,0
541,Kingsley Coman\Kingsley-Coman,fr FRA,FW,Bayern Munich,de Bundesliga,24.0,1996.0,0.30046367851622874,0.5053811659192825,0.5085603112840468,0.3,0.4157458563535911,0.39601659751037344,0.42920353982300885,0.41706539074960125,0.6054794520547945,0.4552129221732746,0.7796610169491526,0.30116648992576883,0.7821782178217822,0.6666666666666667,0.4357298474945534,0
661,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,Barcelona,es La Liga,23.0,1997.0,0.40432766615146837,0.5591928251121075,0.5591439688715953,0.23892215568862274,0.5262430939226518,0.4438174273858921,0.6238938053097345,0.5430622009569377,0.5013698630136987,0.5374449339207048,0.3898305084745763,0.3679745493107105,0.5821782178217821,0.49019607843137253,0.48583877995642705,0
674,Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,fr Ligue 1,26.0,1994.0,0.44389489953632155,0.2452914798206278,0.2673151750972763,0.43952095808383235,0.361878453038674,0.2797510373443984,0.37433628318584067,0.310207336523126,0.7671232876712328,0.31864904552129225,0.7542372881355933,0.3531283138918346,0.6039603960396039,0.8235294117647058,0.4030501089324619,0
712,Daniel Didavi\Daniel-Didavi,de GER,FW,Stuttgart,de Bundesliga,30.0,1990.0,0.506646058732612,0.4650224215246637,0.47743190661478596,0.3706586826347305,0.35773480662983426,0.32406639004149385,0.37256637168141593,0.3293460925039872,0.6328767123287672,0.35242290748898675,0.3898305084745763,0.528101802757158,0.34851485148514855,0.5490196078431373,0.4444444444444445,0
848,Romain Faivre\Romain-Faivre,fr FRA,FW,Brest,fr Ligue 1,22.0,1998.0,0.495208655332303,0.5143497757847533,0.4891050583657588,0.44311377245508987,0.44751381215469616,0.42838174273858926,0.4663716814159292,0.45055821371610844,0.536986301369863,0.42143906020558003,0.3728813559322034,0.3753976670201485,0.28316831683168314,0.3529411764705882,0.23747276688453162,0
863,Nabil Fekir\Nabil-Fekir,fr FRA,FW,Betis,es La Liga,27.0,1993.0,0.46769706336939726,0.47399103139013454,0.4463035019455253,0.39700598802395215,0.4378453038674033,0.39502074688796684,0.4982300884955752,0.4473684210526315,0.49041095890410963,0.4082232011747431,0.4915254237288135,0.3923647932131495,0.3801980198019802,0.3529411764705882,0.35947712418300654,0
899,Phil Foden\Phil-Foden,eng ENG,FW,Manchester City,eng Premier League,20.0,2000.0,0.32921174652241114,0.4605381165919282,0.44241245136186774,0.26047904191616766,0.45303867403314907,0.3643153526970955,0.5318584070796459,0.4696969696969697,0.5178082191780822,0.4566813509544787,0.6610169491525424,0.3117709437963945,0.39603960396039606,0.45098039215686275,0.289760348583878,0
998,Serge Gnabry\Serge-Gnabry,de GER,FW,Bayern Munich,de Bundesliga,25.0,1995.0,0.3659969088098918,0.5233183856502243,0.5124513618677043,0.2790419161676647,0.4571823204419888,0.3822406639004149,0.4964601769911504,0.44417862838915473,0.4931506849315069,0.4566813509544787,0.5084745762711864,0.34676564156945916,0.5089108910891089,0.49019607843137253,0.5010893246187363,0
1006,Aleksandr Golovin\Aleksandr-Golovin,ru RUS,FW,Monaco,fr Ligue 1,24.0,1996.0,0.4834621329211747,0.42017937219730944,0.4735408560311284,0.5820359281437125,0.4903314917127071,0.380746887966805,0.4256637168141593,0.40111642743221687,0.8301369863013698,0.42143906020558003,0.8559322033898306,0.3414634146341463,0.6,0.7843137254901961,0.3660130718954248,0
1048,Vincenzo Grifo\Vincenzo-Grifo,it ITA,FW,Freiburg,de Bundesliga,27.0,1993.0,0.5731066460587326,0.47847533632287004,0.48132295719844365,0.6119760479041916,0.4212707182320441,0.4301244813278008,0.3831858407079646,0.386762360446571,0.6712328767123288,0.39353891336270197,0.5932203389830508,0.44538706256627786,0.47722772277227726,0.47058823529411764,0.30501089324618735,0
1147,Jonas Hofmann\Jonas-Hofmann,de GER,FW,M'Gladbach,de Bundesliga,28.0,1992.0,0.612982998454405,0.5143497757847533,0.5085603112840468,0.7077844311377246,0.511049723756906,0.4983402489626556,0.47168141592920354,0.4633173843700159,0.7863013698630138,0.43612334801762115,0.5,0.3054082714740191,0.42178217821782177,0.5294117647058824,0.28104575163398693,0
1231,Joaquín\Joaquin,es ESP,FW,Betis,es La Liga,39.0,1981.0,0.5109737248840804,0.48295964125560537,0.47743190661478596,0.3730538922155689,0.537292817679558,0.43468879668049787,0.5707964601769911,0.5350877192982455,0.6136986301369863,0.5110132158590308,0.47457627118644075,0.3817603393425239,0.499009900990099,0.33333333333333337,0.47276688453159044,0
1262,Abdoul Kader Bamba\Abdoul-Kader-Bamba,fr FRA,FW,Nantes,fr Ligue 1,26.0,1994.0,0.4788253477588872,0.4650224215246637,0.49688715953307394,0.35868263473053896,0.47790055248618774,0.38439834024896263,0.5053097345132743,0.44098883572567776,0.6164383561643836,0.459618208516887,0.24576271186440676,0.3117709437963945,0.38811881188118813,0.3529411764705882,0.21350762527233116,0
1267,Gaël Kakuta\Gael-Kakuta,cd COD,FW,Lens,fr Ligue 1,29.0,1991.0,0.49891808346213296,0.3932735426008968,0.41128404669260704,0.4239520958083833,0.4157458563535911,0.33941908713692953,0.4150442477876106,0.372408293460925,0.4520547945205479,0.4111600587371512,0.3474576271186441,0.4888653234358431,0.3801980198019802,0.47058823529411764,0.3028322440087146,0
1275,Daichi Kamada\Daichi-Kamada,jp JPN,FW,Eint Frankfurt,de Bundesliga,23.0,1996.0,0.41391035548686245,0.352914798206278,0.34902723735408564,0.3598802395209581,0.33839779005524856,0.2990871369294606,0.3513274336283186,0.3181818181818182,0.5424657534246575,0.32745961820851693,0.6779661016949153,0.31919406150583246,0.31683168316831684,0.5686274509803921,0.23311546840958608,0
1382,Max Kruse\Max-Kruse,de GER,FW,Union Berlin,de Bundesliga,32.0,1988.0,0.34621329211746515,0.47399103139013454,0.46575875486381324,0.5041916167664671,0.3812154696132596,0.41460580912863065,0.34247787610619473,0.35805422647527907,0.5753424657534247,0.36417033773861973,0.46610169491525427,0.36903499469777307,0.31683168316831684,0.49019607843137253,0.289760348583878,0
1544,James Maddison\James-Maddison,eng ENG,FW,Leicester City,eng Premier League,23.0,1996.0,0.49829984544049466,0.48744394618834086,0.4735408560311284,0.4982035928143713,0.4709944751381214,0.42116182572614114,0.46106194690265484,0.45055821371610844,0.6109589041095891,0.4287812041116006,0.3983050847457627,0.4178154825026511,0.3405940594059406,0.45098039215686275,0.32679738562091504,0
1556,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,eng Premier League,29.0,1991.0,0.3950540958268933,0.6040358744394618,0.5669260700389105,0.2832335329341318,0.5,0.45410788381742745,0.5637168141592921,0.5318979266347688,0.5178082191780822,0.5095447870778268,0.5508474576271187,0.3891834570519618,0.5564356435643565,0.5294117647058824,0.5228758169934641,0
1651,Arthur Masuaku\Arthur-Masuaku,cd COD,FW,West Ham,eng Premier League,26.0,1993.0,0.6525502318392582,0.5098654708520179,0.5280155642023346,0.32395209580838324,0.4903314917127071,0.4390871369294605,0.5212389380530974,0.49043062200956933,0.31780821917808216,0.4860499265785609,0.3050847457627119,0.32767762460233296,0.5841584158415842,0.33333333333333337,0.3115468409586057,0
1765,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Roma,it Serie A,31.0,1989.0,0.36043276661514684,0.4112107623318386,0.4151750972762646,0.255688622754491,0.36602209944751374,0.3098755186721992,0.4008849557522124,0.3500797448165869,0.44931506849315067,0.3964757709251101,0.4152542372881356,0.37963944856839876,0.2851485148514851,0.5882352941176471,0.34204793028322444,0
1829,Iker Muniain\Iker-Muniain,es ESP,FW,Athletic Club,es La Liga,27.0,1992.0,0.5867078825347759,0.5412556053811659,0.5357976653696498,0.42574850299401196,0.48204419889502764,0.45834024896265557,0.5035398230088496,0.4952153110047846,0.4575342465753425,0.45080763582966227,0.47457627118644075,0.5334040296924709,0.3108910891089109,0.27450980392156865,0.4226579520697168,0
1832,Luis Muriel\Luis-Muriel,co COL,FW,Atalanta,it Serie A,29.0,1991.0,0.3783616692426584,0.4112107623318386,0.46575875486381324,0.3940119760479042,0.4350828729281767,0.3190041493775934,0.4150442477876106,0.3692185007974481,0.7698630136986302,0.4067547723935389,0.9576271186440678,0.4559915164369036,0.49504950495049505,0.5686274509803921,0.477124183006536,0
1904,Christopher Nkunku\Christopher-Nkunku,fr FRA,FW,RB Leipzig,de Bundesliga,22.0,1997.0,0.5440494590417311,0.3977578475336323,0.39182879377431906,0.444311377245509,0.473756906077348,0.3653941908713693,0.4557522123893805,0.4585326953748006,0.9260273972602739,0.4199706314243759,0.6440677966101696,0.34782608695652173,0.4613861386138614,0.7058823529411764,0.42483660130718953,0
1945,Dani Olmo\Dani-Olmo,es ESP,FW,RB Leipzig,de Bundesliga,22.0,1998.0,0.5514683153013911,0.47399103139013454,0.4929961089494164,0.32215568862275457,0.5234806629834254,0.41170124481327797,0.5566371681415929,0.5015948963317385,0.4273972602739726,0.5609397944199708,0.6610169491525424,0.5800636267232239,0.18613861386138614,0.39215686274509803,0.4814814814814815,0
1969,Adam Ounas\Adam-Ounas,dz ALG,FW,Crotone,it Serie A,23.0,1996.0,0.37743431221020096,0.4560538116591929,0.4268482490272374,0.46227544910179635,0.3218232044198895,0.37817427385892116,0.347787610619469,0.32615629984051037,0.4520547945205479,0.3259911894273128,0.4491525423728814,0.44538706256627786,0.40198019801980195,0.5294117647058824,0.4596949891067538,0
2021,Dimitri Payet\Dimitri-Payet,fr FRA,FW,Marseille,fr Ligue 1,33.0,1987.0,0.6404945904173107,0.5771300448430493,0.6136186770428016,0.6718562874251497,0.5580110497237569,0.48439834024896267,0.4858407079646018,0.4824561403508772,0.6520547945205479,0.5110132158590308,0.5338983050847458,0.5185577942735949,0.6178217821782178,0.5686274509803921,0.3638344226579521,0
2166,Gastón Ramírez\Gaston-Ramirez,uy URU,FW,Sampdoria,it Serie A,29.0,1990.0,0.5038639876352395,0.3708520179372197,0.39182879377431906,0.5425149700598801,0.44475138121546964,0.3709543568464731,0.3513274336283186,0.3899521531100479,0.4821917808219178,0.39941262848751835,0.6271186440677966,0.4199363732767762,0.34851485148514855,0.3529411764705882,0.26143790849673204,0
