,Player,Nation,Pos,Squad,Comp,Age,Born,PrgDist,Cmp.2,Att.2,Att.3,Att,TotDist,Ground,Cmp,KP,Live,GCA90,Prog,Crs,xA,PPA,Cluster_new
66,Carles Aleñá\Carles-Alena,es ESP,FW,Getafe,es La Liga,22.0,1998.0,0.4714064914992272,0.3663677130044844,0.3879377431906615,0.5880239520958084,0.3466850828729281,0.32854771784232367,0.29646017699115046,0.2878787878787879,0.4328767123287672,0.3201174743024964,0.11016949152542374,0.391304347826087,0.31287128712871287,0.2549019607843137,0.3159041394335512,5
77,Miguel Almirón\Miguel-Almiron,py PAR,FW,Newcastle Utd,eng Premier League,26.0,1994.0,0.25749613601236476,0.352914798206278,0.32178988326848246,0.2131736526946108,0.25828729281767954,0.25502074688796683,0.32123893805309733,0.2799043062200957,0.273972602739726,0.2790014684287812,0.1271186440677966,0.2142099681866384,0.2118811881188119,0.19607843137254902,0.20915032679738563,5
191,Antonín Barák\Antonin-Barak,cz CZE,FW,Hellas Verona,it Serie A,25.0,1994.0,0.38021638330757335,0.48744394618834086,0.48132295719844365,0.2754491017964072,0.4005524861878452,0.3609958506224067,0.3991150442477876,0.39473684210526316,0.2136986301369863,0.4287812041116006,0.19491525423728814,0.4284199363732768,0.10891089108910892,0.1764705882352941,0.2047930283224401,5
228,Christoph Baumgartner\Christoph-Baumgartner,at AUT,FW,Hoffenheim,de Bundesliga,20.0,1999.0,0.32890262751159194,0.32242152466367713,0.3295719844357977,0.244311377245509,0.3107734806629833,0.2648132780082988,0.32123893805309733,0.30063795853269537,0.33424657534246577,0.31864904552129225,0.3559322033898305,0.35418875927889715,0.13465346534653466,0.21568627450980393,0.2657952069716776,5
246,Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,fr FRA,FW,Strasbourg,fr Ligue 1,22.0,1998.0,0.22565687789799072,0.42914798206278026,0.40739299610894947,0.3634730538922156,0.2803867403314917,0.3151867219917013,0.27699115044247785,0.28309409888357256,0.18904109589041096,0.2966226138032306,0.2966101694915254,0.14634146341463414,0.28118811881188116,0.13725490196078433,0.17864923747276687,5
275,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,es La Liga,32.0,1987.0,0.2071097372488408,0.31793721973094174,0.28677042801556424,0.15928143712574852,0.34530386740331487,0.2749377593360996,0.4345132743362832,0.3771929824561403,0.3150684931506849,0.3627019089574156,0.47457627118644075,0.2290562036055143,0.1603960396039604,0.39215686274509803,0.25054466230936817,5
307,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,FW,Werder Bremen,de Bundesliga,26.0,1993.0,0.30139103554868624,0.3618834080717489,0.39182879377431906,0.37784431137724556,0.34254143646408836,0.2966804979253112,0.3106194690265487,0.30063795853269537,0.32602739726027397,0.34214390602055805,0.2033898305084746,0.19830328738069986,0.47128712871287126,0.1568627450980392,0.23311546840958608,5
311,Ludovic Blas\Ludovic-Blas,fr FRA,FW,Nantes,fr Ligue 1,22.0,1997.0,0.2809891808346213,0.3887892376681615,0.34513618677042807,0.30718562874251504,0.24171270718232044,0.28033195020746887,0.3106194690265487,0.25757575757575757,0.25753424657534246,0.2555066079295154,0.2711864406779661,0.27041357370095437,0.15247524752475247,0.19607843137254902,0.16122004357298475,5
316,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,FW,Mainz 05,de Bundesliga,26.0,1994.0,0.37681607418856256,0.31569506726457397,0.3529182879377432,0.3059880239520958,0.2955801104972376,0.24912863070539418,0.3,0.2511961722488038,0.3835616438356164,0.32452276064610863,0.2627118644067797,0.352067868504772,0.2514851485148515,0.5098039215686274,0.2178649237472767,5
319,Jeremie Boga\Jeremie-Boga,ci CIV,FW,Sassuolo,it Serie A,23.0,1997.0,0.18547140649149924,0.31434977578475337,0.25564202334630354,0.08023952095808384,0.34944751381215466,0.28356846473029046,0.45929203539823016,0.41228070175438597,0.16712328767123288,0.37591776798825255,0.2966101694915254,0.18875927889713678,0.2,0.11764705882352941,0.18736383442265794,5
